home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Bs Club,Heegan,2011-01-21,0,1,F,somalia,Bs Club (Somalia),Heegan (Somalia),somalia,somalia,SO,SO,Africa,Africa,Africa,national
Elman,Savaana,2011-01-24,1,0,F,somalia,Elman (Somalia),Savaana (Somalia),somalia,somalia,SO,SO,Africa,Africa,Africa,national
Sahafi FC,Horseed,2011-01-25,4,0,F,somalia,Sahafi FC (Somalia),Horseed (Somalia),somalia,somalia,SO,SO,Africa,Africa,Africa,national
Dekedda,Super Shell,2011-01-27,0,3,F,somalia,Dekedda (Somalia),Super Shell (Somalia),somalia,somalia,SO,SO,Africa,Africa,Africa,national
Savaana,Bs Club,2011-01-28,0,0,F,somalia,Savaana (Somalia),Bs Club (Somalia),somalia,somalia,SO,SO,Africa,Africa,Africa,national
Heegan,Horseed,2011-01-31,4,3,F,somalia,Heegan (Somalia),Horseed (Somalia),somalia,somalia,SO,SO,Africa,Africa,Africa,national
Elman,Super Shell,2011-02-01,4,1,F,somalia,Elman (Somalia),Super Shell (Somalia),somalia,somalia,SO,SO,Africa,Africa,Africa,national
Sahafi FC,Dekedda,2011-02-03,3,0,F,somalia,Sahafi FC (Somalia),Dekedda (Somalia),somalia,somalia,SO,SO,Africa,Africa,Africa,national
Bs Club,Horseed,2011-02-04,1,2,F,somalia,Bs Club (Somalia),Horseed (Somalia),somalia,somalia,SO,SO,Africa,Africa,Africa,national
Savaana,Super Shell,2011-02-07,2,1,F,somalia,Savaana (Somalia),Super Shell (Somalia),somalia,somalia,SO,SO,Africa,Africa,Africa,national
Heegan,Dekedda,2011-02-08,0,0,F,somalia,Heegan (Somalia),Dekedda (Somalia),somalia,somalia,SO,SO,Africa,Africa,Africa,national
Elman,Sahafi FC,2011-02-10,1,0,F,somalia,Elman (Somalia),Sahafi FC (Somalia),somalia,somalia,SO,SO,Africa,Africa,Africa,national
Super Shell,Bs Club,2011-02-11,1,3,F,somalia,Super Shell (Somalia),Bs Club (Somalia),somalia,somalia,SO,SO,Africa,Africa,Africa,national
Horseed,Dekedda,2011-02-14,1,1,F,somalia,Horseed (Somalia),Dekedda (Somalia),somalia,somalia,SO,SO,Africa,Africa,Africa,national
Savaana,Sahafi FC,2011-02-15,0,1,F,somalia,Savaana (Somalia),Sahafi FC (Somalia),somalia,somalia,SO,SO,Africa,Africa,Africa,national
Heegan,Elman,2011-02-17,0,4,F,somalia,Heegan (Somalia),Elman (Somalia),somalia,somalia,SO,SO,Africa,Africa,Africa,national
Bs Club,Dekedda,2011-02-18,1,0,F,somalia,Bs Club (Somalia),Dekedda (Somalia),somalia,somalia,SO,SO,Africa,Africa,Africa,national
Super Shell,Sahafi FC,2011-02-21,2,3,F,somalia,Super Shell (Somalia),Sahafi FC (Somalia),somalia,somalia,SO,SO,Africa,Africa,Africa,national
Horseed,Elman,2011-02-22,0,2,F,somalia,Horseed (Somalia),Elman (Somalia),somalia,somalia,SO,SO,Africa,Africa,Africa,national
Savaana,Heegan,2011-02-24,1,3,F,somalia,Savaana (Somalia),Heegan (Somalia),somalia,somalia,SO,SO,Africa,Africa,Africa,national
Sahafi FC,Bs Club,2011-02-25,1,1,F,somalia,Sahafi FC (Somalia),Bs Club (Somalia),somalia,somalia,SO,SO,Africa,Africa,Africa,national
Dekedda,Elman,2011-02-28,1,5,F,somalia,Dekedda (Somalia),Elman (Somalia),somalia,somalia,SO,SO,Africa,Africa,Africa,national
Super Shell,Heegan,2011-03-01,2,1,F,somalia,Super Shell (Somalia),Heegan (Somalia),somalia,somalia,SO,SO,Africa,Africa,Africa,national
Horseed,Savaana,2011-03-03,0,0,F,somalia,Horseed (Somalia),Savaana (Somalia),somalia,somalia,SO,SO,Africa,Africa,Africa,national
Bs Club,Elman,2011-03-04,1,0,F,somalia,Bs Club (Somalia),Elman (Somalia),somalia,somalia,SO,SO,Africa,Africa,Africa,national
Sahafi FC,Heegan,2011-03-07,1,0,F,somalia,Sahafi FC (Somalia),Heegan (Somalia),somalia,somalia,SO,SO,Africa,Africa,Africa,national
Super Shell,Horseed,2011-03-08,2,2,F,somalia,Super Shell (Somalia),Horseed (Somalia),somalia,somalia,SO,SO,Africa,Africa,Africa,national
Dekedda,Savaana,2011-03-11,1,1,F,somalia,Dekedda (Somalia),Savaana (Somalia),somalia,somalia,SO,SO,Africa,Africa,Africa,national
Heegan,Bs Club,2011-03-18,1,0,F,somalia,Heegan (Somalia),Bs Club (Somalia),somalia,somalia,SO,SO,Africa,Africa,Africa,national
Savaana,Elman,2011-03-21,0,3,F,somalia,Savaana (Somalia),Elman (Somalia),somalia,somalia,SO,SO,Africa,Africa,Africa,national
Horseed,Sahafi FC,2011-03-22,4,4,F,somalia,Horseed (Somalia),Sahafi FC (Somalia),somalia,somalia,SO,SO,Africa,Africa,Africa,national
Super Shell,Dekedda,2011-03-23,0,1,F,somalia,Super Shell (Somalia),Dekedda (Somalia),somalia,somalia,SO,SO,Africa,Africa,Africa,national
Bs Club,Savaana,2011-03-24,1,0,F,somalia,Bs Club (Somalia),Savaana (Somalia),somalia,somalia,SO,SO,Africa,Africa,Africa,national
Horseed,Heegan,2011-03-25,0,1,F,somalia,Horseed (Somalia),Heegan (Somalia),somalia,somalia,SO,SO,Africa,Africa,Africa,national
Super Shell,Elman,2011-03-28,2,6,F,somalia,Super Shell (Somalia),Elman (Somalia),somalia,somalia,SO,SO,Africa,Africa,Africa,national
Dekedda,Sahafi FC,2011-03-29,0,1,F,somalia,Dekedda (Somalia),Sahafi FC (Somalia),somalia,somalia,SO,SO,Africa,Africa,Africa,national
Horseed,Bs Club,2011-03-30,0,3,F,somalia,Horseed (Somalia),Bs Club (Somalia),somalia,somalia,SO,SO,Africa,Africa,Africa,national
Super Shell,Savaana,2011-03-31,2,1,F,somalia,Super Shell (Somalia),Savaana (Somalia),somalia,somalia,SO,SO,Africa,Africa,Africa,national
Dekedda,Heegan,2011-04-01,0,0,F,somalia,Dekedda (Somalia),Heegan (Somalia),somalia,somalia,SO,SO,Africa,Africa,Africa,national
Sahafi FC,Elman,2011-04-04,0,1,F,somalia,Sahafi FC (Somalia),Elman (Somalia),somalia,somalia,SO,SO,Africa,Africa,Africa,national
Bs Club,Super Shell,2011-04-05,2,1,F,somalia,Bs Club (Somalia),Super Shell (Somalia),somalia,somalia,SO,SO,Africa,Africa,Africa,national
Dekedda,Horseed,2011-04-06,0,1,F,somalia,Dekedda (Somalia),Horseed (Somalia),somalia,somalia,SO,SO,Africa,Africa,Africa,national
Sahafi FC,Savaana,2011-04-07,2,0,F,somalia,Sahafi FC (Somalia),Savaana (Somalia),somalia,somalia,SO,SO,Africa,Africa,Africa,national
Elman,Heegan,2011-04-08,0,2,F,somalia,Elman (Somalia),Heegan (Somalia),somalia,somalia,SO,SO,Africa,Africa,Africa,national
Dekedda,Bs Club,2011-04-11,0,1,F,somalia,Dekedda (Somalia),Bs Club (Somalia),somalia,somalia,SO,SO,Africa,Africa,Africa,national
Sahafi FC,Super Shell,2011-04-12,2,0,F,somalia,Sahafi FC (Somalia),Super Shell (Somalia),somalia,somalia,SO,SO,Africa,Africa,Africa,national
Elman,Horseed,2011-04-13,1,2,F,somalia,Elman (Somalia),Horseed (Somalia),somalia,somalia,SO,SO,Africa,Africa,Africa,national
