home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Oserian FC,Kenya Commercial Bank,2001-02-24,1,0,F,kenya,Oserian FC (Kenya),Kenya Commercial Bank (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Utalii FC,AFC Leopards,2001-02-24,0,2,F,kenya,Utalii FC (Kenya),AFC Leopards (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Cook n Lite,Chemelil Sugar,2001-02-24,0,2,F,kenya,Cook n Lite (Kenya),Chemelil Sugar (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Sony Sugar,Mathare United FC,2001-02-24,1,1,F,kenya,Sony Sugar (Kenya),Mathare United FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Shabana FC,Red Berets FC,2001-02-24,2,1,F,kenya,Shabana FC (Kenya),Red Berets FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Gor Mahia,Ulinzi Stars,2001-02-25,0,2,F,kenya,Gor Mahia (Kenya),Ulinzi Stars (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Shabana FC,Nakuru Police,2001-02-25,1,1,F,kenya,Shabana FC (Kenya),Nakuru Police (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Nzoia United,Mumias Sugar FC,2001-02-25,0,2,F,kenya,Nzoia United (Kenya),Mumias Sugar FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Coast Stars FC,Chemelil Sugar,2001-02-25,2,1,F,kenya,Coast Stars FC (Kenya),Chemelil Sugar (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Shabana FC,Tusker FC,2001-03-03,0,0,F,kenya,Shabana FC (Kenya),Tusker FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Oserian FC,Kisima Bombers,2001-03-03,3,0,F,kenya,Oserian FC (Kenya),Kisima Bombers (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Gor Mahia,Kenya Commercial Bank,2001-03-03,1,1,F,kenya,Gor Mahia (Kenya),Kenya Commercial Bank (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Chemelil Sugar,Nzoia United,2001-03-03,1,1,F,kenya,Chemelil Sugar (Kenya),Nzoia United (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Mumias Sugar FC,Utalii FC,2001-03-03,2,0,F,kenya,Mumias Sugar FC (Kenya),Utalii FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Coast Stars FC,Red Berets FC,2001-03-03,0,0,F,kenya,Coast Stars FC (Kenya),Red Berets FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
AFC Leopards,Kisima Bombers,2001-03-03,1,1,F,kenya,AFC Leopards (Kenya),Kisima Bombers (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Cook n Lite,Red Berets FC,2001-03-03,1,2,F,kenya,Cook n Lite (Kenya),Red Berets FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Ulinzi Stars,Mathare United FC,2001-03-03,1,2,F,kenya,Ulinzi Stars (Kenya),Mathare United FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Chemelil Sugar,Utalii FC,2001-03-03,1,2,F,kenya,Chemelil Sugar (Kenya),Utalii FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Sony Sugar,Nakuru Police,2001-03-03,2,0,F,kenya,Sony Sugar (Kenya),Nakuru Police (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Ulinzi Stars,AFC Leopards,2001-03-10,0,1,F,kenya,Ulinzi Stars (Kenya),AFC Leopards (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Sony Sugar,Chemelil Sugar,2001-03-10,1,0,F,kenya,Sony Sugar (Kenya),Chemelil Sugar (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Cook n Lite,Shabana FC,2001-03-10,3,0,F,kenya,Cook n Lite (Kenya),Shabana FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Kenya Commercial Bank,Utalii FC,2001-03-10,1,0,F,kenya,Kenya Commercial Bank (Kenya),Utalii FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Coast Stars FC,Shabana FC,2001-03-11,3,0,F,kenya,Coast Stars FC (Kenya),Shabana FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Gor Mahia,Red Berets FC,2001-03-11,3,1,F,kenya,Gor Mahia (Kenya),Red Berets FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Kisima Bombers,Nzoia United,2001-03-11,3,1,F,kenya,Kisima Bombers (Kenya),Nzoia United (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
AFC Leopards,Sony Sugar,2001-03-17,1,0,F,kenya,AFC Leopards (Kenya),Sony Sugar (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Red Berets FC,Chemelil Sugar,2001-03-17,4,1,F,kenya,Red Berets FC (Kenya),Chemelil Sugar (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Kisima Bombers,Gor Mahia,2001-03-17,0,0,F,kenya,Kisima Bombers (Kenya),Gor Mahia (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
AFC Leopards,Kenya Commercial Bank,2001-03-24,3,0,F,kenya,AFC Leopards (Kenya),Kenya Commercial Bank (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Gor Mahia,Nakuru Police,2001-03-24,2,1,F,kenya,Gor Mahia (Kenya),Nakuru Police (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Cook n Lite,Kisima Bombers,2001-03-24,1,2,F,kenya,Cook n Lite (Kenya),Kisima Bombers (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Shabana FC,Ulinzi Stars,2001-03-25,0,1,F,kenya,Shabana FC (Kenya),Ulinzi Stars (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Coast Stars FC,Kisima Bombers,2001-03-25,0,0,F,kenya,Coast Stars FC (Kenya),Kisima Bombers (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Oserian FC,Nakuru Police,2001-03-25,3,0,F,kenya,Oserian FC (Kenya),Nakuru Police (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Red Berets FC,Tusker FC,2001-04-01,1,3,F,kenya,Red Berets FC (Kenya),Tusker FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Utalii FC,Kisima Bombers,2001-04-01,3,1,F,kenya,Utalii FC (Kenya),Kisima Bombers (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Sony Sugar,Mumias Sugar FC,2001-04-01,0,1,F,kenya,Sony Sugar (Kenya),Mumias Sugar FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Mumias Sugar FC,Gor Mahia,2001-04-07,1,1,F,kenya,Mumias Sugar FC (Kenya),Gor Mahia (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Cook n Lite,Mathare United FC,2001-04-07,1,1,F,kenya,Cook n Lite (Kenya),Mathare United FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Chemelil Sugar,Kenya Commercial Bank,2001-04-07,1,0,F,kenya,Chemelil Sugar (Kenya),Kenya Commercial Bank (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Nakuru Police,Red Berets FC,2001-04-07,1,0,F,kenya,Nakuru Police (Kenya),Red Berets FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Shabana FC,Utalii FC,2001-04-07,1,2,F,kenya,Shabana FC (Kenya),Utalii FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
AFC Leopards,Oserian FC,2001-04-08,0,1,F,kenya,AFC Leopards (Kenya),Oserian FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Mumias Sugar FC,Kenya Commercial Bank,2001-04-08,2,1,F,kenya,Mumias Sugar FC (Kenya),Kenya Commercial Bank (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Coast Stars FC,Mathare United FC,2001-04-08,1,2,F,kenya,Coast Stars FC (Kenya),Mathare United FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Sony Sugar,Utalii FC,2001-04-08,1,1,F,kenya,Sony Sugar (Kenya),Utalii FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Nzoia United,Nakuru Police,2001-04-08,0,0,F,kenya,Nzoia United (Kenya),Nakuru Police (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Kisima Bombers,Shabana FC,2001-04-21,2,0,F,kenya,Kisima Bombers (Kenya),Shabana FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Kenya Commercial Bank,Coast Stars FC,2001-04-21,0,0,F,kenya,Kenya Commercial Bank (Kenya),Coast Stars FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Tusker FC,AFC Leopards,2001-04-21,2,1,F,kenya,Tusker FC (Kenya),AFC Leopards (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Oserian FC,Sony Sugar,2001-04-21,2,0,F,kenya,Oserian FC (Kenya),Sony Sugar (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Nzoia United,Cook n Lite,2001-04-21,2,0,F,kenya,Nzoia United (Kenya),Cook n Lite (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Kenya Commercial Bank,Ulinzi Stars,2001-04-21,0,0,F,kenya,Kenya Commercial Bank (Kenya),Ulinzi Stars (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Mathare United FC,Gor Mahia,2001-04-22,1,1,F,kenya,Mathare United FC (Kenya),Gor Mahia (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Oserian FC,Coast Stars FC,2001-04-22,2,0,F,kenya,Oserian FC (Kenya),Coast Stars FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Tusker FC,Sony Sugar,2001-04-22,3,1,F,kenya,Tusker FC (Kenya),Sony Sugar (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Mumias Sugar FC,Cook n Lite,2001-04-22,3,0,F,kenya,Mumias Sugar FC (Kenya),Cook n Lite (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Kisima Bombers,Nakuru Police,2001-04-22,2,2,F,kenya,Kisima Bombers (Kenya),Nakuru Police (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Nzoia United,Kenya Commercial Bank,2001-04-28,2,0,F,kenya,Nzoia United (Kenya),Kenya Commercial Bank (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Nakuru Police,Brooke Bond FC,2001-04-28,2,0,F,kenya,Nakuru Police (Kenya),Brooke Bond FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Chemelil Sugar,Ulinzi Stars,2001-04-28,0,0,F,kenya,Chemelil Sugar (Kenya),Ulinzi Stars (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Utalii FC,Tusker FC,2001-04-28,0,0,F,kenya,Utalii FC (Kenya),Tusker FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Gor Mahia,Coast Stars FC,2001-04-28,1,0,F,kenya,Gor Mahia (Kenya),Coast Stars FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Mumias Sugar FC,Shabana FC,2001-04-28,0,0,F,kenya,Mumias Sugar FC (Kenya),Shabana FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Nzoia United,Oserian FC,2001-04-30,1,1,F,kenya,Nzoia United (Kenya),Oserian FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Red Berets FC,Mathare United FC,2001-04-30,1,1,F,kenya,Red Berets FC (Kenya),Mathare United FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Sony Sugar,Kisima Bombers,2001-04-30,3,2,F,kenya,Sony Sugar (Kenya),Kisima Bombers (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Kisumu Telekom,Kenya Commercial Bank,2001-04-30,0,0,F,kenya,Kisumu Telekom (Kenya),Kenya Commercial Bank (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Mumias Sugar FC,Ulinzi Stars,2001-04-30,4,0,F,kenya,Mumias Sugar FC (Kenya),Ulinzi Stars (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Tusker FC,Coast Stars FC,2001-04-30,1,0,F,kenya,Tusker FC (Kenya),Coast Stars FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Nakuru Police,Utalii FC,2001-04-30,0,1,F,kenya,Nakuru Police (Kenya),Utalii FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
AFC Leopards,Mathare United FC,2001-05-01,2,1,F,kenya,AFC Leopards (Kenya),Mathare United FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Chemelil Sugar,Kisima Bombers,2001-05-01,0,1,F,kenya,Chemelil Sugar (Kenya),Kisima Bombers (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Kisumu Telekom,Shabana FC,2001-05-01,1,0,F,kenya,Kisumu Telekom (Kenya),Shabana FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
AFC Leopards,Gor Mahia,2001-05-01,0,0,F,kenya,AFC Leopards (Kenya),Gor Mahia (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Oserian FC,Cook n Lite,2001-05-01,4,0,F,kenya,Oserian FC (Kenya),Cook n Lite (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Kisumu Telekom,Nzoia United,2001-05-05,0,1,F,kenya,Kisumu Telekom (Kenya),Nzoia United (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Chemelil Sugar,Brooke Bond FC,2001-05-05,3,1,F,kenya,Chemelil Sugar (Kenya),Brooke Bond FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Tusker FC,Gor Mahia,2001-05-05,1,0,F,kenya,Tusker FC (Kenya),Gor Mahia (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Mathare United FC,Mumias Sugar FC,2001-05-05,1,2,F,kenya,Mathare United FC (Kenya),Mumias Sugar FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Ulinzi Stars,Red Berets FC,2001-05-05,3,1,F,kenya,Ulinzi Stars (Kenya),Red Berets FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Kisumu Telekom,Nakuru Police,2001-05-06,2,0,F,kenya,Kisumu Telekom (Kenya),Nakuru Police (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Brooke Bond FC,Nzoia United,2001-05-06,0,0,F,kenya,Brooke Bond FC (Kenya),Nzoia United (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
AFC Leopards,Mumias Sugar FC,2001-05-06,3,0,F,kenya,AFC Leopards (Kenya),Mumias Sugar FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Tusker FC,Kenya Commercial Bank,2001-05-06,4,0,F,kenya,Tusker FC (Kenya),Kenya Commercial Bank (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Chemelil Sugar,Oserian FC,2001-05-06,0,3,F,kenya,Chemelil Sugar (Kenya),Oserian FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Mumias Sugar FC,Coast Stars FC,2001-05-12,1,0,F,kenya,Mumias Sugar FC (Kenya),Coast Stars FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Nakuru Police,Cook n Lite,2001-05-12,1,0,F,kenya,Nakuru Police (Kenya),Cook n Lite (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Chemelil Sugar,Shabana FC,2001-05-12,0,0,F,kenya,Chemelil Sugar (Kenya),Shabana FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Brooke Bond FC,Sony Sugar,2001-05-12,1,1,F,kenya,Brooke Bond FC (Kenya),Sony Sugar (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Kisima Bombers,Mathare United FC,2001-05-12,1,0,F,kenya,Kisima Bombers (Kenya),Mathare United FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Mumias Sugar FC,Red Berets FC,2001-05-12,3,1,F,kenya,Mumias Sugar FC (Kenya),Red Berets FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Utalii FC,Cook n Lite,2001-05-13,2,1,F,kenya,Utalii FC (Kenya),Cook n Lite (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Kisumu Telekom,Red Berets FC,2001-05-13,0,1,F,kenya,Kisumu Telekom (Kenya),Red Berets FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Shabana FC,Brooke Bond FC,2001-05-13,3,0,F,kenya,Shabana FC (Kenya),Brooke Bond FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
AFC Leopards,Nakuru Police,2001-05-13,1,0,F,kenya,AFC Leopards (Kenya),Nakuru Police (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Sony Sugar,Kisumu Telekom,2001-05-17,2,0,F,kenya,Sony Sugar (Kenya),Kisumu Telekom (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Oserian FC,Mumias Sugar FC,2001-05-19,2,1,F,kenya,Oserian FC (Kenya),Mumias Sugar FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Mathare United FC,Shabana FC,2001-05-19,1,0,F,kenya,Mathare United FC (Kenya),Shabana FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Nzoia United,AFC Leopards,2001-05-19,1,1,F,kenya,Nzoia United (Kenya),AFC Leopards (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Gor Mahia,Utalii FC,2001-05-19,1,2,F,kenya,Gor Mahia (Kenya),Utalii FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Tusker FC,Kisumu Telekom,2001-05-20,3,1,F,kenya,Tusker FC (Kenya),Kisumu Telekom (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Chemelil Sugar,AFC Leopards,2001-05-20,1,1,F,kenya,Chemelil Sugar (Kenya),AFC Leopards (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Kisima Bombers,Red Berets FC,2001-05-20,1,1,F,kenya,Kisima Bombers (Kenya),Red Berets FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Kenya Commercial Bank,Cook n Lite,2001-05-20,6,3,F,kenya,Kenya Commercial Bank (Kenya),Cook n Lite (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Mumias Sugar FC,Nakuru Police,2001-05-20,1,1,F,kenya,Mumias Sugar FC (Kenya),Nakuru Police (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Utalii FC,Kisumu Telekom,2001-05-20,2,2,F,kenya,Utalii FC (Kenya),Kisumu Telekom (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Brooke Bond FC,Ulinzi Stars,2001-05-20,0,1,F,kenya,Brooke Bond FC (Kenya),Ulinzi Stars (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Chemelil Sugar,Mumias Sugar FC,2001-05-26,4,1,F,kenya,Chemelil Sugar (Kenya),Mumias Sugar FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Coast Stars FC,Nakuru Police,2001-05-26,3,1,F,kenya,Coast Stars FC (Kenya),Nakuru Police (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Ulinzi Stars,Kisima Bombers,2001-05-26,2,1,F,kenya,Ulinzi Stars (Kenya),Kisima Bombers (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Brooke Bond FC,Cook n Lite,2001-05-26,0,1,F,kenya,Brooke Bond FC (Kenya),Cook n Lite (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Kenya Commercial Bank,Kisima Bombers,2001-05-27,0,5,F,kenya,Kenya Commercial Bank (Kenya),Kisima Bombers (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Coast Stars FC,Utalii FC,2001-05-27,1,1,F,kenya,Coast Stars FC (Kenya),Utalii FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Sony Sugar,Cook n Lite,2001-05-27,3,0,F,kenya,Sony Sugar (Kenya),Cook n Lite (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Shabana FC,Sony Sugar,2001-06-01,1,1,F,kenya,Shabana FC (Kenya),Sony Sugar (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Cook n Lite,Coast Stars FC,2001-06-01,2,1,F,kenya,Cook n Lite (Kenya),Coast Stars FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Tusker FC,Brooke Bond FC,2001-06-01,2,2,F,kenya,Tusker FC (Kenya),Brooke Bond FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Red Berets FC,AFC Leopards,2001-06-01,0,0,F,kenya,Red Berets FC (Kenya),AFC Leopards (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Gor Mahia,Chemelil Sugar,2001-06-01,3,0,F,kenya,Gor Mahia (Kenya),Chemelil Sugar (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Coast Stars FC,Ulinzi Stars,2001-06-01,1,1,F,kenya,Coast Stars FC (Kenya),Ulinzi Stars (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Nakuru Police,Chemelil Sugar,2001-06-03,1,2,F,kenya,Nakuru Police (Kenya),Chemelil Sugar (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Nzoia United,Sony Sugar,2001-06-03,3,1,F,kenya,Nzoia United (Kenya),Sony Sugar (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
AFC Leopards,Kisumu Telekom,2001-06-03,2,1,F,kenya,AFC Leopards (Kenya),Kisumu Telekom (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Utalii FC,Brooke Bond FC,2001-06-03,3,1,F,kenya,Utalii FC (Kenya),Brooke Bond FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Nakuru Police,Kenya Commercial Bank,2001-06-03,0,2,F,kenya,Nakuru Police (Kenya),Kenya Commercial Bank (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Coast Stars FC,AFC Leopards,2001-06-09,0,1,F,kenya,Coast Stars FC (Kenya),AFC Leopards (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Brooke Bond FC,Kisima Bombers,2001-06-09,3,2,F,kenya,Brooke Bond FC (Kenya),Kisima Bombers (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Red Berets FC,Kenya Commercial Bank,2001-06-09,0,0,F,kenya,Red Berets FC (Kenya),Kenya Commercial Bank (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Utalii FC,Nzoia United,2001-06-09,0,1,F,kenya,Utalii FC (Kenya),Nzoia United (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Cook n Lite,AFC Leopards,2001-06-10,2,2,F,kenya,Cook n Lite (Kenya),AFC Leopards (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Sony Sugar,Gor Mahia,2001-06-10,1,0,F,kenya,Sony Sugar (Kenya),Gor Mahia (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Utalii FC,Red Berets FC,2001-06-13,1,1,F,kenya,Utalii FC (Kenya),Red Berets FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
AFC Leopards,Brooke Bond FC,2001-06-23,3,1,F,kenya,AFC Leopards (Kenya),Brooke Bond FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Coast Stars FC,Kisumu Telekom,2001-06-23,1,0,F,kenya,Coast Stars FC (Kenya),Kisumu Telekom (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Mumias Sugar FC,Tusker FC,2001-06-23,2,1,F,kenya,Mumias Sugar FC (Kenya),Tusker FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Nzoia United,Red Berets FC,2001-06-23,0,0,F,kenya,Nzoia United (Kenya),Red Berets FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Gor Mahia,Brooke Bond FC,2001-06-24,1,0,F,kenya,Gor Mahia (Kenya),Brooke Bond FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Cook n Lite,Kisumu Telekom,2001-06-24,1,0,F,kenya,Cook n Lite (Kenya),Kisumu Telekom (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Nzoia United,Ulinzi Stars,2001-06-24,0,0,F,kenya,Nzoia United (Kenya),Ulinzi Stars (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Mathare United FC,Nakuru Police,2001-06-24,2,0,F,kenya,Mathare United FC (Kenya),Nakuru Police (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Gor Mahia,Oserian FC,2001-07-01,2,1,F,kenya,Gor Mahia (Kenya),Oserian FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Sony Sugar,Coast Stars FC,2001-07-07,0,1,F,kenya,Sony Sugar (Kenya),Coast Stars FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Kenya Commercial Bank,Shabana FC,2001-07-07,1,1,F,kenya,Kenya Commercial Bank (Kenya),Shabana FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Brooke Bond FC,Mathare United FC,2001-07-07,1,1,F,kenya,Brooke Bond FC (Kenya),Mathare United FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Tusker FC,Oserian FC,2001-07-07,1,0,F,kenya,Tusker FC (Kenya),Oserian FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Utalii FC,Oserian FC,2001-07-08,0,0,F,kenya,Utalii FC (Kenya),Oserian FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Brooke Bond FC,Coast Stars FC,2001-07-08,0,1,F,kenya,Brooke Bond FC (Kenya),Coast Stars FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Kisumu Telekom,Mathare United FC,2001-07-08,2,0,F,kenya,Kisumu Telekom (Kenya),Mathare United FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
AFC Leopards,Shabana FC,2001-07-08,4,0,F,kenya,AFC Leopards (Kenya),Shabana FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Kisima Bombers,Mumias Sugar FC,2001-07-08,0,1,F,kenya,Kisima Bombers (Kenya),Mumias Sugar FC (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Tusker FC,Nakuru Police,2001-07-08,2,0,F,kenya,Tusker FC (Kenya),Nakuru Police (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
Oserian FC,Kisumu Telekom,2001-07-14,5,1,F,kenya,Oserian FC (Kenya),Kisumu Telekom (Kenya),kenya,kenya,KE,KE,Africa,Africa,Africa,national
