home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Alania Vladikavkaz,CSka Moskva,1992-03-29,2,0,F,russia,Alania Vladikavkaz (Russia),CSka Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Dinamo Stavropol,Dinamo Moskva,1992-03-29,0,3,F,russia,Dinamo Stavropol (Russia),Dinamo Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Tekstilshchik Kamyshin,FK Tyumen,1992-03-29,1,0,F,russia,Tekstilshchik Kamyshin (Russia),FK Tyumen (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Fakel Voronezh,FK Ural,1992-03-29,0,1,F,russia,Fakel Voronezh (Russia),FK Ural (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Kuban Krasnodar,Lokomotiv Moskva,1992-03-29,0,0,F,russia,Kuban Krasnodar (Russia),Lokomotiv Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
FK Rostov,Shinnik Yaroslavl,1992-03-29,2,0,F,russia,FK Rostov (Russia),Shinnik Yaroslavl (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Spartak Moskva,Krylia Sovetov,1992-03-29,5,0,F,russia,Spartak Moskva (Russia),Krylia Sovetov (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Alania Vladikavkaz,Dinamo Moskva,1992-04-01,0,0,F,russia,Alania Vladikavkaz (Russia),Dinamo Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Dinamo Stavropol,CSka Moskva,1992-04-01,1,2,F,russia,Dinamo Stavropol (Russia),CSka Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Tekstilshchik Kamyshin,FK Ural,1992-04-01,3,0,F,russia,Tekstilshchik Kamyshin (Russia),FK Ural (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Fakel Voronezh,FK Tyumen,1992-04-01,1,0,F,russia,Fakel Voronezh (Russia),FK Tyumen (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Kuban Krasnodar,Shinnik Yaroslavl,1992-04-01,2,1,F,russia,Kuban Krasnodar (Russia),Shinnik Yaroslavl (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
FK Rostov,Lokomotiv Moskva,1992-04-01,0,0,F,russia,FK Rostov (Russia),Lokomotiv Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Torpedo Moskva,Krylia Sovetov,1992-04-01,2,0,F,russia,Torpedo Moskva (Russia),Krylia Sovetov (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Zenit St Petersburg,Presnya Moskva,1992-04-01,2,4,F,russia,Zenit St Petersburg (Russia),Presnya Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Spartak Moskva,Rotor Volgograd,1992-04-02,1,0,F,russia,Spartak Moskva (Russia),Rotor Volgograd (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Lokomotiv Moskva,Okean Nakhodka,1992-04-03,2,1,F,russia,Lokomotiv Moskva (Russia),Okean Nakhodka (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Dinamo Moskva,Fakel Voronezh,1992-04-08,5,0,F,russia,Dinamo Moskva (Russia),Fakel Voronezh (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Shinnik Yaroslavl,Torpedo Moskva,1992-04-08,0,2,F,russia,Shinnik Yaroslavl (Russia),Torpedo Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Lokomotiv Moskva,Spartak Moskva,1992-04-08,0,0,F,russia,Lokomotiv Moskva (Russia),Spartak Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
CSka Moskva,Tekstilshchik Kamyshin,1992-04-09,1,0,F,russia,CSka Moskva (Russia),Tekstilshchik Kamyshin (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Krylia Sovetov,Presnya Moskva,1992-04-09,1,2,F,russia,Krylia Sovetov (Russia),Presnya Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Rotor Volgograd,Zenit St Petersburg,1992-04-09,6,1,F,russia,Rotor Volgograd (Russia),Zenit St Petersburg (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Kuban Krasnodar,FK Rostov,1992-04-09,0,2,F,russia,Kuban Krasnodar (Russia),FK Rostov (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Okean Nakhodka,Alania Vladikavkaz,1992-04-10,2,1,F,russia,Okean Nakhodka (Russia),Alania Vladikavkaz (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Lokomotiv Moskva,Dinamo Stavropol,1992-04-10,3,0,F,russia,Lokomotiv Moskva (Russia),Dinamo Stavropol (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Dinamo Moskva,Tekstilshchik Kamyshin,1992-04-12,4,0,F,russia,Dinamo Moskva (Russia),Tekstilshchik Kamyshin (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
CSka Moskva,Fakel Voronezh,1992-04-12,2,0,F,russia,CSka Moskva (Russia),Fakel Voronezh (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
FK Tyumen,FK Ural,1992-04-12,2,3,F,russia,FK Tyumen (Russia),FK Ural (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Krylia Sovetov,Zenit St Petersburg,1992-04-12,1,0,F,russia,Krylia Sovetov (Russia),Zenit St Petersburg (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Rotor Volgograd,Presnya Moskva,1992-04-12,0,0,F,russia,Rotor Volgograd (Russia),Presnya Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Shinnik Yaroslavl,Spartak Moskva,1992-04-12,0,1,F,russia,Shinnik Yaroslavl (Russia),Spartak Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Lokomotiv Moskva,Torpedo Moskva,1992-04-12,1,0,F,russia,Lokomotiv Moskva (Russia),Torpedo Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Okean Nakhodka,Dinamo Stavropol,1992-04-13,2,0,F,russia,Okean Nakhodka (Russia),Dinamo Stavropol (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Lokomotiv Moskva,Alania Vladikavkaz,1992-04-13,0,3,F,russia,Lokomotiv Moskva (Russia),Alania Vladikavkaz (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Torpedo Moskva,Rotor Volgograd,1992-04-18,1,0,F,russia,Torpedo Moskva (Russia),Rotor Volgograd (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Spartak Moskva,Kuban Krasnodar,1992-04-21,2,1,F,russia,Spartak Moskva (Russia),Kuban Krasnodar (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Tekstilshchik Kamyshin,Lokomotiv Moskva,1992-04-22,3,1,F,russia,Tekstilshchik Kamyshin (Russia),Lokomotiv Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Fakel Voronezh,Okean Nakhodka,1992-04-22,0,1,F,russia,Fakel Voronezh (Russia),Okean Nakhodka (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
FK Ural,CSka Moskva,1992-04-22,1,1,F,russia,FK Ural (Russia),CSka Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
FK Tyumen,Dinamo Moskva,1992-04-22,0,1,F,russia,FK Tyumen (Russia),Dinamo Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Torpedo Moskva,FK Rostov,1992-04-22,1,1,F,russia,Torpedo Moskva (Russia),FK Rostov (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Zenit St Petersburg,Shinnik Yaroslavl,1992-04-23,2,0,F,russia,Zenit St Petersburg (Russia),Shinnik Yaroslavl (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Presnya Moskva,Lokomotiv Moskva,1992-04-23,0,0,F,russia,Presnya Moskva (Russia),Lokomotiv Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Tekstilshchik Kamyshin,Okean Nakhodka,1992-04-25,1,0,F,russia,Tekstilshchik Kamyshin (Russia),Okean Nakhodka (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Fakel Voronezh,Lokomotiv Moskva,1992-04-25,1,1,F,russia,Fakel Voronezh (Russia),Lokomotiv Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Dinamo Stavropol,Alania Vladikavkaz,1992-04-25,0,2,F,russia,Dinamo Stavropol (Russia),Alania Vladikavkaz (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
FK Ural,Dinamo Moskva,1992-04-25,2,1,F,russia,FK Ural (Russia),Dinamo Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
FK Tyumen,CSka Moskva,1992-04-25,0,1,F,russia,FK Tyumen (Russia),CSka Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Spartak Moskva,FK Rostov,1992-04-25,2,0,F,russia,Spartak Moskva (Russia),FK Rostov (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Torpedo Moskva,Kuban Krasnodar,1992-04-25,0,0,F,russia,Torpedo Moskva (Russia),Kuban Krasnodar (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Krylia Sovetov,Rotor Volgograd,1992-04-25,0,0,F,russia,Krylia Sovetov (Russia),Rotor Volgograd (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Zenit St Petersburg,Lokomotiv Moskva,1992-04-26,1,1,F,russia,Zenit St Petersburg (Russia),Lokomotiv Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Presnya Moskva,Shinnik Yaroslavl,1992-04-26,1,2,F,russia,Presnya Moskva (Russia),Shinnik Yaroslavl (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Lokomotiv Moskva,FK Ural,1992-05-01,1,0,F,russia,Lokomotiv Moskva (Russia),FK Ural (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Alania Vladikavkaz,Tekstilshchik Kamyshin,1992-05-02,2,2,F,russia,Alania Vladikavkaz (Russia),Tekstilshchik Kamyshin (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Dinamo Stavropol,Fakel Voronezh,1992-05-02,2,1,F,russia,Dinamo Stavropol (Russia),Fakel Voronezh (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Okean Nakhodka,FK Tyumen,1992-05-02,1,0,F,russia,Okean Nakhodka (Russia),FK Tyumen (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
FK Rostov,Zenit St Petersburg,1992-05-02,1,0,F,russia,FK Rostov (Russia),Zenit St Petersburg (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Shinnik Yaroslavl,Krylia Sovetov,1992-05-02,2,2,F,russia,Shinnik Yaroslavl (Russia),Krylia Sovetov (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Spartak Moskva,Torpedo Moskva,1992-05-02,1,1,F,russia,Spartak Moskva (Russia),Torpedo Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Lokomotiv Moskva,Rotor Volgograd,1992-05-02,1,0,F,russia,Lokomotiv Moskva (Russia),Rotor Volgograd (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Kuban Krasnodar,Presnya Moskva,1992-05-02,1,2,F,russia,Kuban Krasnodar (Russia),Presnya Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Dinamo Moskva,CSka Moskva,1992-05-03,2,1,F,russia,Dinamo Moskva (Russia),CSka Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Okean Nakhodka,FK Ural,1992-05-05,1,1,F,russia,Okean Nakhodka (Russia),FK Ural (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Lokomotiv Moskva,FK Tyumen,1992-05-05,3,1,F,russia,Lokomotiv Moskva (Russia),FK Tyumen (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Alania Vladikavkaz,Fakel Voronezh,1992-05-05,2,1,F,russia,Alania Vladikavkaz (Russia),Fakel Voronezh (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Dinamo Stavropol,Tekstilshchik Kamyshin,1992-05-05,0,0,F,russia,Dinamo Stavropol (Russia),Tekstilshchik Kamyshin (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Kuban Krasnodar,Zenit St Petersburg,1992-05-05,2,2,F,russia,Kuban Krasnodar (Russia),Zenit St Petersburg (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
FK Rostov,Presnya Moskva,1992-05-05,0,1,F,russia,FK Rostov (Russia),Presnya Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Shinnik Yaroslavl,Rotor Volgograd,1992-05-05,1,1,F,russia,Shinnik Yaroslavl (Russia),Rotor Volgograd (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Lokomotiv Moskva,Krylia Sovetov,1992-05-06,1,0,F,russia,Lokomotiv Moskva (Russia),Krylia Sovetov (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Dinamo Stavropol,Okean Nakhodka,1992-05-10,2,0,F,russia,Dinamo Stavropol (Russia),Okean Nakhodka (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Presnya Moskva,Torpedo Moskva,1992-05-13,2,1,F,russia,Presnya Moskva (Russia),Torpedo Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
FK Tyumen,Dinamo Stavropol,1992-05-14,1,0,F,russia,FK Tyumen (Russia),Dinamo Stavropol (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
CSka Moskva,Okean Nakhodka,1992-05-14,2,0,F,russia,CSka Moskva (Russia),Okean Nakhodka (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Dinamo Moskva,Lokomotiv Moskva,1992-05-14,0,0,F,russia,Dinamo Moskva (Russia),Lokomotiv Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Fakel Voronezh,Tekstilshchik Kamyshin,1992-05-14,1,1,F,russia,Fakel Voronezh (Russia),Tekstilshchik Kamyshin (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
FK Ural,Alania Vladikavkaz,1992-05-14,1,1,F,russia,FK Ural (Russia),Alania Vladikavkaz (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Zenit St Petersburg,Spartak Moskva,1992-05-14,2,0,F,russia,Zenit St Petersburg (Russia),Spartak Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Krylia Sovetov,Kuban Krasnodar,1992-05-14,1,0,F,russia,Krylia Sovetov (Russia),Kuban Krasnodar (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Rotor Volgograd,FK Rostov,1992-05-14,1,3,F,russia,Rotor Volgograd (Russia),FK Rostov (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Shinnik Yaroslavl,Lokomotiv Moskva,1992-05-15,0,2,F,russia,Shinnik Yaroslavl (Russia),Lokomotiv Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
FK Ural,Dinamo Stavropol,1992-05-17,4,1,F,russia,FK Ural (Russia),Dinamo Stavropol (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
FK Tyumen,Alania Vladikavkaz,1992-05-17,1,0,F,russia,FK Tyumen (Russia),Alania Vladikavkaz (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Presnya Moskva,Spartak Moskva,1992-05-17,1,1,F,russia,Presnya Moskva (Russia),Spartak Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Zenit St Petersburg,Torpedo Moskva,1992-05-17,2,3,F,russia,Zenit St Petersburg (Russia),Torpedo Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Krylia Sovetov,FK Rostov,1992-05-17,1,0,F,russia,Krylia Sovetov (Russia),FK Rostov (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Rotor Volgograd,Kuban Krasnodar,1992-05-17,1,3,F,russia,Rotor Volgograd (Russia),Kuban Krasnodar (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
CSka Moskva,Lokomotiv Moskva,1992-05-18,1,1,F,russia,CSka Moskva (Russia),Lokomotiv Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Okean Nakhodka,Dinamo Moskva,1992-05-18,1,1,F,russia,Okean Nakhodka (Russia),Dinamo Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Presnya Moskva,Krylia Sovetov,1992-06-28,0,0,F,russia,Presnya Moskva (Russia),Krylia Sovetov (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Zenit St Petersburg,Rotor Volgograd,1992-06-28,1,1,F,russia,Zenit St Petersburg (Russia),Rotor Volgograd (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Alania Vladikavkaz,Lokomotiv Moskva,1992-06-29,0,0,F,russia,Alania Vladikavkaz (Russia),Lokomotiv Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Tekstilshchik Kamyshin,CSka Moskva,1992-06-29,1,1,F,russia,Tekstilshchik Kamyshin (Russia),CSka Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Torpedo Moskva,Lokomotiv Moskva,1992-06-30,0,1,F,russia,Torpedo Moskva (Russia),Lokomotiv Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Zenit St Petersburg,Krylia Sovetov,1992-07-01,0,0,F,russia,Zenit St Petersburg (Russia),Krylia Sovetov (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Presnya Moskva,Rotor Volgograd,1992-07-01,2,1,F,russia,Presnya Moskva (Russia),Rotor Volgograd (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
FK Ural,FK Tyumen,1992-07-02,5,2,F,russia,FK Ural (Russia),FK Tyumen (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Fakel Voronezh,CSka Moskva,1992-07-02,1,1,F,russia,Fakel Voronezh (Russia),CSka Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Torpedo Moskva,Shinnik Yaroslavl,1992-07-02,1,0,F,russia,Torpedo Moskva (Russia),Shinnik Yaroslavl (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
FK Rostov,Kuban Krasnodar,1992-07-02,1,1,F,russia,FK Rostov (Russia),Kuban Krasnodar (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Spartak Moskva,Lokomotiv Moskva,1992-07-02,1,0,F,russia,Spartak Moskva (Russia),Lokomotiv Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Dinamo Stavropol,Lokomotiv Moskva,1992-07-03,0,1,F,russia,Dinamo Stavropol (Russia),Lokomotiv Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Rotor Volgograd,Shinnik Yaroslavl,1992-07-05,1,0,F,russia,Rotor Volgograd (Russia),Shinnik Yaroslavl (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Lokomotiv Moskva,Tekstilshchik Kamyshin,1992-07-07,1,0,F,russia,Lokomotiv Moskva (Russia),Tekstilshchik Kamyshin (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
CSka Moskva,FK Ural,1992-07-08,2,1,F,russia,CSka Moskva (Russia),FK Ural (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Dinamo Moskva,FK Tyumen,1992-07-09,1,0,F,russia,Dinamo Moskva (Russia),FK Tyumen (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Alania Vladikavkaz,Dinamo Stavropol,1992-07-09,2,1,F,russia,Alania Vladikavkaz (Russia),Dinamo Stavropol (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
FK Rostov,Torpedo Moskva,1992-07-09,2,1,F,russia,FK Rostov (Russia),Torpedo Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Shinnik Yaroslavl,Zenit St Petersburg,1992-07-09,1,1,F,russia,Shinnik Yaroslavl (Russia),Zenit St Petersburg (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Lokomotiv Moskva,Presnya Moskva,1992-07-09,2,1,F,russia,Lokomotiv Moskva (Russia),Presnya Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Rotor Volgograd,Krylia Sovetov,1992-07-09,3,0,F,russia,Rotor Volgograd (Russia),Krylia Sovetov (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Kuban Krasnodar,Spartak Moskva,1992-07-09,1,5,F,russia,Kuban Krasnodar (Russia),Spartak Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Okean Nakhodka,Tekstilshchik Kamyshin,1992-07-10,2,0,F,russia,Okean Nakhodka (Russia),Tekstilshchik Kamyshin (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Lokomotiv Moskva,Fakel Voronezh,1992-07-10,0,0,F,russia,Lokomotiv Moskva (Russia),Fakel Voronezh (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
CSka Moskva,FK Tyumen,1992-07-12,3,0,F,russia,CSka Moskva (Russia),FK Tyumen (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Dinamo Moskva,FK Ural,1992-07-12,6,2,F,russia,Dinamo Moskva (Russia),FK Ural (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Kuban Krasnodar,Torpedo Moskva,1992-07-12,1,3,F,russia,Kuban Krasnodar (Russia),Torpedo Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
FK Rostov,Spartak Moskva,1992-07-12,0,0,F,russia,FK Rostov (Russia),Spartak Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Shinnik Yaroslavl,Presnya Moskva,1992-07-12,0,3,F,russia,Shinnik Yaroslavl (Russia),Presnya Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Lokomotiv Moskva,Zenit St Petersburg,1992-07-12,0,0,F,russia,Lokomotiv Moskva (Russia),Zenit St Petersburg (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Okean Nakhodka,Fakel Voronezh,1992-07-13,0,0,F,russia,Okean Nakhodka (Russia),Fakel Voronezh (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Tekstilshchik Kamyshin,Dinamo Stavropol,1992-07-16,1,0,F,russia,Tekstilshchik Kamyshin (Russia),Dinamo Stavropol (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
CSka Moskva,Dinamo Moskva,1992-07-17,4,1,F,russia,CSka Moskva (Russia),Dinamo Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
FK Ural,Okean Nakhodka,1992-07-19,1,3,F,russia,FK Ural (Russia),Okean Nakhodka (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
FK Tyumen,Lokomotiv Moskva,1992-07-19,0,3,F,russia,FK Tyumen (Russia),Lokomotiv Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Tekstilshchik Kamyshin,Alania Vladikavkaz,1992-07-19,3,2,F,russia,Tekstilshchik Kamyshin (Russia),Alania Vladikavkaz (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Fakel Voronezh,Dinamo Stavropol,1992-07-19,2,1,F,russia,Fakel Voronezh (Russia),Dinamo Stavropol (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Presnya Moskva,Kuban Krasnodar,1992-07-19,3,1,F,russia,Presnya Moskva (Russia),Kuban Krasnodar (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Krylia Sovetov,Shinnik Yaroslavl,1992-07-19,1,0,F,russia,Krylia Sovetov (Russia),Shinnik Yaroslavl (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Torpedo Moskva,Spartak Moskva,1992-07-19,0,3,F,russia,Torpedo Moskva (Russia),Spartak Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Zenit St Petersburg,FK Rostov,1992-07-19,1,2,F,russia,Zenit St Petersburg (Russia),FK Rostov (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
FK Tyumen,Okean Nakhodka,1992-07-22,3,3,F,russia,FK Tyumen (Russia),Okean Nakhodka (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Fakel Voronezh,Alania Vladikavkaz,1992-07-22,0,0,F,russia,Fakel Voronezh (Russia),Alania Vladikavkaz (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Presnya Moskva,FK Rostov,1992-07-22,1,0,F,russia,Presnya Moskva (Russia),FK Rostov (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Krylia Sovetov,Lokomotiv Moskva,1992-07-22,1,1,F,russia,Krylia Sovetov (Russia),Lokomotiv Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Zenit St Petersburg,Kuban Krasnodar,1992-07-22,1,0,F,russia,Zenit St Petersburg (Russia),Kuban Krasnodar (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
FK Ural,Lokomotiv Moskva,1992-07-23,3,1,F,russia,FK Ural (Russia),Lokomotiv Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Tekstilshchik Kamyshin,Dinamo Moskva,1992-07-23,1,1,F,russia,Tekstilshchik Kamyshin (Russia),Dinamo Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Spartak Moskva,Shinnik Yaroslavl,1992-07-23,0,0,F,russia,Spartak Moskva (Russia),Shinnik Yaroslavl (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Fakel Voronezh,Dinamo Moskva,1992-07-26,1,0,F,russia,Fakel Voronezh (Russia),Dinamo Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Rotor Volgograd,Lokomotiv Moskva,1992-07-26,3,0,F,russia,Rotor Volgograd (Russia),Lokomotiv Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
Torpedo Moskva,Presnya Moskva,1992-07-28,1,2,F,russia,Torpedo Moskva (Russia),Presnya Moskva (Russia),russia,russia,RU,RU,Europe,Europe,Europe,national
