home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Bella Vista,Defensor Sporting,1932-03-05,1,2,F,uruguay,Bella Vista (Uruguay),Defensor Sporting (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
CA Penarol,River Plate,1932-03-05,1,1,F,uruguay,CA Penarol (Uruguay),River Plate (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Montevideo Wanderers,Racing Club,1932-03-05,3,0,F,uruguay,Montevideo Wanderers (Uruguay),Racing Club (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Central Espanol,Rampla Juniors Futbol Club,1932-03-05,1,0,F,uruguay,Central Espanol (Uruguay),Rampla Juniors Futbol Club (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Nacional,Institucion Atletica Sud America,1932-03-05,2,0,F,uruguay,Nacional (Uruguay),Institucion Atletica Sud America (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Nacional,River Plate,1932-03-12,3,3,F,uruguay,Nacional (Uruguay),River Plate (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Defensor Sporting,Racing Club,1932-03-12,6,0,F,uruguay,Defensor Sporting (Uruguay),Racing Club (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
CA Penarol,Institucion Atletica Sud America,1932-03-12,4,0,F,uruguay,CA Penarol (Uruguay),Institucion Atletica Sud America (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Rampla Juniors Futbol Club,Bella Vista,1932-03-12,3,1,F,uruguay,Rampla Juniors Futbol Club (Uruguay),Bella Vista (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Montevideo Wanderers,Central Espanol,1932-03-12,1,1,F,uruguay,Montevideo Wanderers (Uruguay),Central Espanol (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Racing Club,Nacional,1932-03-19,3,0,F,uruguay,Racing Club (Uruguay),Nacional (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Montevideo Wanderers,Institucion Atletica Sud America,1932-03-19,2,0,F,uruguay,Montevideo Wanderers (Uruguay),Institucion Atletica Sud America (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Defensor Sporting,Rampla Juniors Futbol Club,1932-03-19,2,2,F,uruguay,Defensor Sporting (Uruguay),Rampla Juniors Futbol Club (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
CA Penarol,Central Espanol,1932-03-19,2,1,F,uruguay,CA Penarol (Uruguay),Central Espanol (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
River Plate,Bella Vista,1932-03-19,3,1,F,uruguay,River Plate (Uruguay),Bella Vista (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
CA Penarol,Rampla Juniors Futbol Club,1932-03-26,1,1,F,uruguay,CA Penarol (Uruguay),Rampla Juniors Futbol Club (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Bella Vista,Racing Club,1932-03-26,2,1,F,uruguay,Bella Vista (Uruguay),Racing Club (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Central Espanol,Institucion Atletica Sud America,1932-03-26,1,0,F,uruguay,Central Espanol (Uruguay),Institucion Atletica Sud America (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Defensor Sporting,River Plate,1932-03-26,3,0,F,uruguay,Defensor Sporting (Uruguay),River Plate (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Nacional,Montevideo Wanderers,1932-03-26,3,1,F,uruguay,Nacional (Uruguay),Montevideo Wanderers (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Nacional,Central Espanol,1932-04-02,4,2,F,uruguay,Nacional (Uruguay),Central Espanol (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
CA Penarol,Bella Vista,1932-04-02,2,0,F,uruguay,CA Penarol (Uruguay),Bella Vista (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Rampla Juniors Futbol Club,Institucion Atletica Sud America,1932-04-02,7,0,F,uruguay,Rampla Juniors Futbol Club (Uruguay),Institucion Atletica Sud America (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
River Plate,Racing Club,1932-04-02,4,3,F,uruguay,River Plate (Uruguay),Racing Club (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Defensor Sporting,Montevideo Wanderers,1932-04-02,2,1,F,uruguay,Defensor Sporting (Uruguay),Montevideo Wanderers (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Nacional,Defensor Sporting,1932-04-09,1,1,F,uruguay,Nacional (Uruguay),Defensor Sporting (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
River Plate,Central Espanol,1932-04-09,2,0,F,uruguay,River Plate (Uruguay),Central Espanol (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Rampla Juniors Futbol Club,Montevideo Wanderers,1932-04-09,0,0,F,uruguay,Rampla Juniors Futbol Club (Uruguay),Montevideo Wanderers (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Bella Vista,Institucion Atletica Sud America,1932-04-09,1,1,F,uruguay,Bella Vista (Uruguay),Institucion Atletica Sud America (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Racing Club,CA Penarol,1932-04-09,1,4,F,uruguay,Racing Club (Uruguay),CA Penarol (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Central Espanol,Defensor Sporting,1932-04-16,2,0,F,uruguay,Central Espanol (Uruguay),Defensor Sporting (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Rampla Juniors Futbol Club,Racing Club,1932-04-16,2,1,F,uruguay,Rampla Juniors Futbol Club (Uruguay),Racing Club (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
River Plate,Institucion Atletica Sud America,1932-04-16,2,1,F,uruguay,River Plate (Uruguay),Institucion Atletica Sud America (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
CA Penarol,Montevideo Wanderers,1932-04-16,3,2,F,uruguay,CA Penarol (Uruguay),Montevideo Wanderers (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Nacional,Bella Vista,1932-04-16,3,0,F,uruguay,Nacional (Uruguay),Bella Vista (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
CA Penarol,Defensor Sporting,1932-04-23,6,2,F,uruguay,CA Penarol (Uruguay),Defensor Sporting (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Bella Vista,Central Espanol,1932-04-23,2,2,F,uruguay,Bella Vista (Uruguay),Central Espanol (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Rampla Juniors Futbol Club,Nacional,1932-04-23,2,1,F,uruguay,Rampla Juniors Futbol Club (Uruguay),Nacional (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
River Plate,Montevideo Wanderers,1932-04-23,1,0,F,uruguay,River Plate (Uruguay),Montevideo Wanderers (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Institucion Atletica Sud America,Racing Club,1932-04-23,3,0,F,uruguay,Institucion Atletica Sud America (Uruguay),Racing Club (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Bella Vista,Montevideo Wanderers,1932-04-30,4,1,F,uruguay,Bella Vista (Uruguay),Montevideo Wanderers (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Defensor Sporting,Institucion Atletica Sud America,1932-04-30,1,0,F,uruguay,Defensor Sporting (Uruguay),Institucion Atletica Sud America (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
River Plate,Rampla Juniors Futbol Club,1932-04-30,0,4,F,uruguay,River Plate (Uruguay),Rampla Juniors Futbol Club (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Central Espanol,Racing Club,1932-04-30,0,0,F,uruguay,Central Espanol (Uruguay),Racing Club (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
CA Penarol,Nacional,1932-04-30,2,0,F,uruguay,CA Penarol (Uruguay),Nacional (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Institucion Atletica Sud America,Nacional,1932-05-07,4,5,F,uruguay,Institucion Atletica Sud America (Uruguay),Nacional (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Defensor Sporting,Bella Vista,1932-05-07,1,1,F,uruguay,Defensor Sporting (Uruguay),Bella Vista (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Racing Club,Montevideo Wanderers,1932-05-07,0,0,F,uruguay,Racing Club (Uruguay),Montevideo Wanderers (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Rampla Juniors Futbol Club,Central Espanol,1932-05-07,4,0,F,uruguay,Rampla Juniors Futbol Club (Uruguay),Central Espanol (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
River Plate,CA Penarol,1932-05-07,1,3,F,uruguay,River Plate (Uruguay),CA Penarol (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Institucion Atletica Sud America,CA Penarol,1932-05-14,0,0,F,uruguay,Institucion Atletica Sud America (Uruguay),CA Penarol (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Bella Vista,Rampla Juniors Futbol Club,1932-05-14,1,2,F,uruguay,Bella Vista (Uruguay),Rampla Juniors Futbol Club (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Central Espanol,Montevideo Wanderers,1932-05-14,1,2,F,uruguay,Central Espanol (Uruguay),Montevideo Wanderers (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Racing Club,Defensor Sporting,1932-05-14,2,1,F,uruguay,Racing Club (Uruguay),Defensor Sporting (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
River Plate,Nacional,1932-05-14,0,2,F,uruguay,River Plate (Uruguay),Nacional (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Bella Vista,River Plate,1932-05-21,0,1,F,uruguay,Bella Vista (Uruguay),River Plate (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Institucion Atletica Sud America,Montevideo Wanderers,1932-05-21,1,2,F,uruguay,Institucion Atletica Sud America (Uruguay),Montevideo Wanderers (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Nacional,Racing Club,1932-05-21,6,0,F,uruguay,Nacional (Uruguay),Racing Club (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Central Espanol,CA Penarol,1932-05-21,1,1,F,uruguay,Central Espanol (Uruguay),CA Penarol (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Rampla Juniors Futbol Club,Defensor Sporting,1932-05-21,6,2,F,uruguay,Rampla Juniors Futbol Club (Uruguay),Defensor Sporting (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Rampla Juniors Futbol Club,CA Penarol,1932-05-28,0,1,F,uruguay,Rampla Juniors Futbol Club (Uruguay),CA Penarol (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Racing Club,Bella Vista,1932-05-28,0,2,F,uruguay,Racing Club (Uruguay),Bella Vista (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
River Plate,Defensor Sporting,1932-05-28,1,2,F,uruguay,River Plate (Uruguay),Defensor Sporting (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Institucion Atletica Sud America,Central Espanol,1932-05-28,2,1,F,uruguay,Institucion Atletica Sud America (Uruguay),Central Espanol (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Montevideo Wanderers,Nacional,1932-05-28,1,0,F,uruguay,Montevideo Wanderers (Uruguay),Nacional (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Central Espanol,Nacional,1932-06-04,1,0,F,uruguay,Central Espanol (Uruguay),Nacional (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Bella Vista,CA Penarol,1932-06-04,2,0,F,uruguay,Bella Vista (Uruguay),CA Penarol (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Racing Club,River Plate,1932-06-04,1,2,F,uruguay,Racing Club (Uruguay),River Plate (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Rampla Juniors Futbol Club,Institucion Atletica Sud America,1932-06-04,2,3,F,uruguay,Rampla Juniors Futbol Club (Uruguay),Institucion Atletica Sud America (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Montevideo Wanderers,Defensor Sporting,1932-06-04,1,3,F,uruguay,Montevideo Wanderers (Uruguay),Defensor Sporting (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Racing Club,CA Penarol,1932-06-11,0,1,F,uruguay,Racing Club (Uruguay),CA Penarol (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Defensor Sporting,Nacional,1932-06-11,0,0,F,uruguay,Defensor Sporting (Uruguay),Nacional (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Institucion Atletica Sud America,Bella Vista,1932-06-11,1,0,F,uruguay,Institucion Atletica Sud America (Uruguay),Bella Vista (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Central Espanol,River Plate,1932-06-11,0,1,F,uruguay,Central Espanol (Uruguay),River Plate (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Montevideo Wanderers,Rampla Juniors Futbol Club,1932-06-11,2,1,F,uruguay,Montevideo Wanderers (Uruguay),Rampla Juniors Futbol Club (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Bella Vista,Nacional,1932-06-18,0,0,F,uruguay,Bella Vista (Uruguay),Nacional (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Institucion Atletica Sud America,River Plate,1932-06-18,0,1,F,uruguay,Institucion Atletica Sud America (Uruguay),River Plate (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Defensor Sporting,Central Espanol,1932-06-18,6,0,F,uruguay,Defensor Sporting (Uruguay),Central Espanol (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Racing Club,Rampla Juniors Futbol Club,1932-06-18,0,3,F,uruguay,Racing Club (Uruguay),Rampla Juniors Futbol Club (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Montevideo Wanderers,CA Penarol,1932-06-18,1,2,F,uruguay,Montevideo Wanderers (Uruguay),CA Penarol (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Defensor Sporting,CA Penarol,1932-06-25,2,1,F,uruguay,Defensor Sporting (Uruguay),CA Penarol (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Bella Vista,Central Espanol,1932-06-25,0,1,F,uruguay,Bella Vista (Uruguay),Central Espanol (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Nacional,Rampla Juniors Futbol Club,1932-06-25,2,3,F,uruguay,Nacional (Uruguay),Rampla Juniors Futbol Club (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Racing Club,Institucion Atletica Sud America,1932-06-25,0,2,F,uruguay,Racing Club (Uruguay),Institucion Atletica Sud America (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Montevideo Wanderers,River Plate,1932-06-25,1,0,F,uruguay,Montevideo Wanderers (Uruguay),River Plate (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Racing Club,Central Espanol,1932-08-06,1,1,F,uruguay,Racing Club (Uruguay),Central Espanol (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Institucion Atletica Sud America,Defensor Sporting,1932-08-06,1,1,F,uruguay,Institucion Atletica Sud America (Uruguay),Defensor Sporting (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Montevideo Wanderers,Bella Vista,1932-08-06,1,1,F,uruguay,Montevideo Wanderers (Uruguay),Bella Vista (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Nacional,CA Penarol,1932-08-06,0,2,F,uruguay,Nacional (Uruguay),CA Penarol (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Rampla Juniors Futbol Club,River Plate,1932-08-06,3,0,F,uruguay,Rampla Juniors Futbol Club (Uruguay),River Plate (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
CA Penarol,River Plate,1932-08-13,3,1,F,uruguay,CA Penarol (Uruguay),River Plate (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Central Espanol,Rampla Juniors Futbol Club,1932-08-13,2,0,F,uruguay,Central Espanol (Uruguay),Rampla Juniors Futbol Club (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Defensor Sporting,Bella Vista,1932-08-13,2,3,F,uruguay,Defensor Sporting (Uruguay),Bella Vista (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Nacional,Institucion Atletica Sud America,1932-08-13,2,0,F,uruguay,Nacional (Uruguay),Institucion Atletica Sud America (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Montevideo Wanderers,Racing Club,1932-08-13,1,0,F,uruguay,Montevideo Wanderers (Uruguay),Racing Club (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Nacional,River Plate,1932-08-20,2,1,F,uruguay,Nacional (Uruguay),River Plate (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Rampla Juniors Futbol Club,Bella Vista,1932-08-20,0,1,F,uruguay,Rampla Juniors Futbol Club (Uruguay),Bella Vista (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Defensor Sporting,Racing Club,1932-08-20,1,0,F,uruguay,Defensor Sporting (Uruguay),Racing Club (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
CA Penarol,Institucion Atletica Sud America,1932-08-20,0,1,F,uruguay,CA Penarol (Uruguay),Institucion Atletica Sud America (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Montevideo Wanderers,Central Espanol,1932-08-20,3,0,F,uruguay,Montevideo Wanderers (Uruguay),Central Espanol (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
CA Penarol,Central Espanol,1932-08-27,3,2,F,uruguay,CA Penarol (Uruguay),Central Espanol (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Defensor Sporting,Rampla Juniors Futbol Club,1932-08-27,2,3,F,uruguay,Defensor Sporting (Uruguay),Rampla Juniors Futbol Club (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Racing Club,Nacional,1932-08-27,2,3,F,uruguay,Racing Club (Uruguay),Nacional (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
River Plate,Bella Vista,1932-08-27,2,1,F,uruguay,River Plate (Uruguay),Bella Vista (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Montevideo Wanderers,Institucion Atletica Sud America,1932-08-27,2,1,F,uruguay,Montevideo Wanderers (Uruguay),Institucion Atletica Sud America (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Central Espanol,Institucion Atletica Sud America,1932-09-03,2,0,F,uruguay,Central Espanol (Uruguay),Institucion Atletica Sud America (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Nacional,Montevideo Wanderers,1932-09-03,1,1,F,uruguay,Nacional (Uruguay),Montevideo Wanderers (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Bella Vista,Racing Club,1932-09-03,2,0,F,uruguay,Bella Vista (Uruguay),Racing Club (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Defensor Sporting,River Plate,1932-09-03,1,0,F,uruguay,Defensor Sporting (Uruguay),River Plate (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
CA Penarol,Rampla Juniors Futbol Club,1932-09-03,3,3,F,uruguay,CA Penarol (Uruguay),Rampla Juniors Futbol Club (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
CA Penarol,Bella Vista,1932-09-10,2,0,F,uruguay,CA Penarol (Uruguay),Bella Vista (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Defensor Sporting,Montevideo Wanderers,1932-09-10,0,0,F,uruguay,Defensor Sporting (Uruguay),Montevideo Wanderers (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Nacional,Central Espanol,1932-09-10,5,2,F,uruguay,Nacional (Uruguay),Central Espanol (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Rampla Juniors Futbol Club,Institucion Atletica Sud America,1932-09-10,3,3,F,uruguay,Rampla Juniors Futbol Club (Uruguay),Institucion Atletica Sud America (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
River Plate,Racing Club,1932-09-10,4,0,F,uruguay,River Plate (Uruguay),Racing Club (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Bella Vista,Institucion Atletica Sud America,1932-09-17,1,1,F,uruguay,Bella Vista (Uruguay),Institucion Atletica Sud America (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
CA Penarol,Racing Club,1932-09-17,2,0,F,uruguay,CA Penarol (Uruguay),Racing Club (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
River Plate,Central Espanol,1932-09-17,2,1,F,uruguay,River Plate (Uruguay),Central Espanol (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Montevideo Wanderers,Rampla Juniors Futbol Club,1932-09-17,1,4,F,uruguay,Montevideo Wanderers (Uruguay),Rampla Juniors Futbol Club (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Nacional,Defensor Sporting,1932-09-17,3,1,F,uruguay,Nacional (Uruguay),Defensor Sporting (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
CA Penarol,Montevideo Wanderers,1932-09-24,0,1,F,uruguay,CA Penarol (Uruguay),Montevideo Wanderers (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
River Plate,Institucion Atletica Sud America,1932-09-24,1,2,F,uruguay,River Plate (Uruguay),Institucion Atletica Sud America (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Rampla Juniors Futbol Club,Racing Club,1932-09-24,5,0,F,uruguay,Rampla Juniors Futbol Club (Uruguay),Racing Club (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Central Espanol,Defensor Sporting,1932-09-24,2,1,F,uruguay,Central Espanol (Uruguay),Defensor Sporting (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Nacional,Bella Vista,1932-09-24,1,0,F,uruguay,Nacional (Uruguay),Bella Vista (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
River Plate,Montevideo Wanderers,1932-10-01,1,2,F,uruguay,River Plate (Uruguay),Montevideo Wanderers (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Central Espanol,Bella Vista,1932-10-01,2,2,F,uruguay,Central Espanol (Uruguay),Bella Vista (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Institucion Atletica Sud America,Racing Club,1932-10-01,0,0,F,uruguay,Institucion Atletica Sud America (Uruguay),Racing Club (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
CA Penarol,Defensor Sporting,1932-10-01,3,3,F,uruguay,CA Penarol (Uruguay),Defensor Sporting (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Rampla Juniors Futbol Club,Nacional,1932-10-01,0,0,F,uruguay,Rampla Juniors Futbol Club (Uruguay),Nacional (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Central Espanol,Racing Club,1932-10-08,3,2,F,uruguay,Central Espanol (Uruguay),Racing Club (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
River Plate,Rampla Juniors Futbol Club,1932-10-08,2,2,F,uruguay,River Plate (Uruguay),Rampla Juniors Futbol Club (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Defensor Sporting,Institucion Atletica Sud America,1932-10-08,3,1,F,uruguay,Defensor Sporting (Uruguay),Institucion Atletica Sud America (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Bella Vista,Montevideo Wanderers,1932-10-08,1,0,F,uruguay,Bella Vista (Uruguay),Montevideo Wanderers (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
CA Penarol,Nacional,1932-10-08,2,0,F,uruguay,CA Penarol (Uruguay),Nacional (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Rampla Juniors Futbol Club,CA Penarol,1933-03-04,1,0,F,uruguay,Rampla Juniors Futbol Club (Uruguay),CA Penarol (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Nacional,Bella Vista,1933-03-04,4,0,F,uruguay,Nacional (Uruguay),Bella Vista (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Racing Club,Central Espanol,1933-03-04,3,3,F,uruguay,Racing Club (Uruguay),Central Espanol (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
River Plate,Institucion Atletica Sud America,1933-03-04,2,0,F,uruguay,River Plate (Uruguay),Institucion Atletica Sud America (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Montevideo Wanderers,Defensor Sporting,1933-03-04,1,1,F,uruguay,Montevideo Wanderers (Uruguay),Defensor Sporting (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Nacional,Central Espanol,1933-03-11,2,0,F,uruguay,Nacional (Uruguay),Central Espanol (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Bella Vista,Racing Club,1933-03-11,4,3,F,uruguay,Bella Vista (Uruguay),Racing Club (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
CA Penarol,Montevideo Wanderers,1933-03-11,4,2,F,uruguay,CA Penarol (Uruguay),Montevideo Wanderers (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Defensor Sporting,Institucion Atletica Sud America,1933-03-11,4,2,F,uruguay,Defensor Sporting (Uruguay),Institucion Atletica Sud America (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Rampla Juniors Futbol Club,River Plate,1933-03-11,2,0,F,uruguay,Rampla Juniors Futbol Club (Uruguay),River Plate (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
CA Penarol,Racing Club,1933-03-18,7,1,F,uruguay,CA Penarol (Uruguay),Racing Club (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
River Plate,Defensor Sporting,1933-03-18,0,1,F,uruguay,River Plate (Uruguay),Defensor Sporting (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Nacional,Institucion Atletica Sud America,1933-03-18,0,0,F,uruguay,Nacional (Uruguay),Institucion Atletica Sud America (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Rampla Juniors Futbol Club,Central Espanol,1933-03-18,2,1,F,uruguay,Rampla Juniors Futbol Club (Uruguay),Central Espanol (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Bella Vista,Montevideo Wanderers,1933-03-18,2,3,F,uruguay,Bella Vista (Uruguay),Montevideo Wanderers (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Nacional,River Plate,1933-03-25,2,0,F,uruguay,Nacional (Uruguay),River Plate (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Bella Vista,Defensor Sporting,1933-03-25,0,1,F,uruguay,Bella Vista (Uruguay),Defensor Sporting (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
CA Penarol,Central Espanol,1933-03-25,2,0,F,uruguay,CA Penarol (Uruguay),Central Espanol (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
