home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Warriors FC,Tampines Rovers,2000-03-09,1,0,F,singapore,Warriors FC (Singapore),Tampines Rovers (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Geylang United,Balestier Khalsa,2000-03-09,2,0,F,singapore,Geylang United (Singapore),Balestier Khalsa (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Clementi Khalsa,Sengkang Marines,2000-03-10,1,1,F,singapore,Clementi Khalsa (Singapore),Sengkang Marines (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Sembawang Rangers,Woodlands Wellington,2000-03-10,0,0,F,singapore,Sembawang Rangers (Singapore),Woodlands Wellington (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Tanjong Pagar United,Home United,2000-03-11,1,0,F,singapore,Tanjong Pagar United (Singapore),Home United (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Gombak United,Albirex Niigate FC,2000-03-11,1,0,F,singapore,Gombak United (Singapore),Albirex Niigate FC (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Albirex Niigate FC,Clementi Khalsa,2000-03-15,3,1,F,singapore,Albirex Niigate FC (Singapore),Clementi Khalsa (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Home United,Geylang United,2000-03-15,2,5,F,singapore,Home United (Singapore),Geylang United (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Balestier Khalsa,Warriors FC,2000-03-17,1,5,F,singapore,Balestier Khalsa (Singapore),Warriors FC (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Tampines Rovers,Gombak United,2000-03-17,2,2,F,singapore,Tampines Rovers (Singapore),Gombak United (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Sengkang Marines,Sembawang Rangers,2000-03-18,1,1,F,singapore,Sengkang Marines (Singapore),Sembawang Rangers (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Woodlands Wellington,Tanjong Pagar United,2000-03-18,1,2,F,singapore,Woodlands Wellington (Singapore),Tanjong Pagar United (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Warriors FC,Sengkang Marines,2000-03-23,2,0,F,singapore,Warriors FC (Singapore),Sengkang Marines (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Geylang United,Clementi Khalsa,2000-03-23,3,1,F,singapore,Geylang United (Singapore),Clementi Khalsa (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Gombak United,Woodlands Wellington,2000-03-24,1,0,F,singapore,Gombak United (Singapore),Woodlands Wellington (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Tampines Rovers,Home United,2000-03-24,1,2,F,singapore,Tampines Rovers (Singapore),Home United (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Balestier Khalsa,Albirex Niigate FC,2000-03-25,0,1,F,singapore,Balestier Khalsa (Singapore),Albirex Niigate FC (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Tanjong Pagar United,Sembawang Rangers,2000-03-25,4,1,F,singapore,Tanjong Pagar United (Singapore),Sembawang Rangers (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Woodlands Wellington,Tampines Rovers,2000-03-30,3,1,F,singapore,Woodlands Wellington (Singapore),Tampines Rovers (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Clementi Khalsa,Warriors FC,2000-03-30,1,4,F,singapore,Clementi Khalsa (Singapore),Warriors FC (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Sengkang Marines,Gombak United,2000-03-31,2,1,F,singapore,Sengkang Marines (Singapore),Gombak United (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Sembawang Rangers,Geylang United,2000-03-31,1,3,F,singapore,Sembawang Rangers (Singapore),Geylang United (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Albirex Niigate FC,Tanjong Pagar United,2000-04-01,0,0,F,singapore,Albirex Niigate FC (Singapore),Tanjong Pagar United (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Home United,Balestier Khalsa,2000-04-01,3,1,F,singapore,Home United (Singapore),Balestier Khalsa (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Home United,Sengkang Marines,2000-04-06,4,0,F,singapore,Home United (Singapore),Sengkang Marines (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Gombak United,Tanjong Pagar United,2000-04-06,2,4,F,singapore,Gombak United (Singapore),Tanjong Pagar United (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Tampines Rovers,Sembawang Rangers,2000-04-07,2,1,F,singapore,Tampines Rovers (Singapore),Sembawang Rangers (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Woodlands Wellington,Albirex Niigate FC,2000-04-07,0,1,F,singapore,Woodlands Wellington (Singapore),Albirex Niigate FC (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Warriors FC,Geylang United,2000-04-08,3,0,F,singapore,Warriors FC (Singapore),Geylang United (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Balestier Khalsa,Clementi Khalsa,2000-04-08,1,1,F,singapore,Balestier Khalsa (Singapore),Clementi Khalsa (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Tanjong Pagar United,Tampines Rovers,2000-04-13,0,0,F,singapore,Tanjong Pagar United (Singapore),Tampines Rovers (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Sembawang Rangers,Balestier Khalsa,2000-04-13,1,0,F,singapore,Sembawang Rangers (Singapore),Balestier Khalsa (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Geylang United,Gombak United,2000-04-14,1,2,F,singapore,Geylang United (Singapore),Gombak United (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Albirex Niigate FC,Warriors FC,2000-04-14,2,1,F,singapore,Albirex Niigate FC (Singapore),Warriors FC (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Sengkang Marines,Woodlands Wellington,2000-04-15,4,1,F,singapore,Sengkang Marines (Singapore),Woodlands Wellington (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Clementi Khalsa,Home United,2000-04-15,0,3,F,singapore,Clementi Khalsa (Singapore),Home United (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Tampines Rovers,Albirex Niigate FC,2000-04-19,4,2,F,singapore,Tampines Rovers (Singapore),Albirex Niigate FC (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Gombak United,Balestier Khalsa,2000-04-19,1,0,F,singapore,Gombak United (Singapore),Balestier Khalsa (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Warriors FC,Home United,2000-04-20,1,0,F,singapore,Warriors FC (Singapore),Home United (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Sembawang Rangers,Clementi Khalsa,2000-04-20,0,2,F,singapore,Sembawang Rangers (Singapore),Clementi Khalsa (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Tanjong Pagar United,Sengkang Marines,2000-04-22,4,1,F,singapore,Tanjong Pagar United (Singapore),Sengkang Marines (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Woodlands Wellington,Geylang United,2000-04-22,0,3,F,singapore,Woodlands Wellington (Singapore),Geylang United (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Balestier Khalsa,Tampines Rovers,2000-04-27,1,4,F,singapore,Balestier Khalsa (Singapore),Tampines Rovers (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Warriors FC,Woodlands Wellington,2000-04-27,1,0,F,singapore,Warriors FC (Singapore),Woodlands Wellington (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Geylang United,Sengkang Marines,2000-04-28,7,1,F,singapore,Geylang United (Singapore),Sengkang Marines (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Clementi Khalsa,Tanjong Pagar United,2000-04-28,3,3,F,singapore,Clementi Khalsa (Singapore),Tanjong Pagar United (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Albirex Niigate FC,Sembawang Rangers,2000-04-29,3,0,F,singapore,Albirex Niigate FC (Singapore),Sembawang Rangers (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Home United,Gombak United,2000-04-29,1,1,F,singapore,Home United (Singapore),Gombak United (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Tanjong Pagar United,Geylang United,2000-05-04,3,1,F,singapore,Tanjong Pagar United (Singapore),Geylang United (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Woodlands Wellington,Balestier Khalsa,2000-05-04,2,0,F,singapore,Woodlands Wellington (Singapore),Balestier Khalsa (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Home United,Albirex Niigate FC,2000-05-05,4,0,F,singapore,Home United (Singapore),Albirex Niigate FC (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Sengkang Marines,Tampines Rovers,2000-05-05,1,0,F,singapore,Sengkang Marines (Singapore),Tampines Rovers (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Sembawang Rangers,Warriors FC,2000-05-06,0,2,F,singapore,Sembawang Rangers (Singapore),Warriors FC (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Gombak United,Clementi Khalsa,2000-05-06,2,3,F,singapore,Gombak United (Singapore),Clementi Khalsa (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Albirex Niigate FC,Sengkang Marines,2000-05-11,3,2,F,singapore,Albirex Niigate FC (Singapore),Sengkang Marines (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Tampines Rovers,Geylang United,2000-05-11,0,1,F,singapore,Tampines Rovers (Singapore),Geylang United (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Balestier Khalsa,Tanjong Pagar United,2000-05-12,1,4,F,singapore,Balestier Khalsa (Singapore),Tanjong Pagar United (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Sembawang Rangers,Home United,2000-05-12,1,1,F,singapore,Sembawang Rangers (Singapore),Home United (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Warriors FC,Gombak United,2000-05-13,2,1,F,singapore,Warriors FC (Singapore),Gombak United (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Woodlands Wellington,Clementi Khalsa,2000-05-13,3,0,F,singapore,Woodlands Wellington (Singapore),Clementi Khalsa (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Sengkang Marines,Balestier Khalsa,2000-05-18,0,1,F,singapore,Sengkang Marines (Singapore),Balestier Khalsa (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Clementi Khalsa,Tampines Rovers,2000-05-18,0,2,F,singapore,Clementi Khalsa (Singapore),Tampines Rovers (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Home United,Woodlands Wellington,2000-05-19,0,0,F,singapore,Home United (Singapore),Woodlands Wellington (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Tanjong Pagar United,Warriors FC,2000-05-19,0,0,F,singapore,Tanjong Pagar United (Singapore),Warriors FC (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Geylang United,Albirex Niigate FC,2000-05-20,0,1,F,singapore,Geylang United (Singapore),Albirex Niigate FC (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Gombak United,Sembawang Rangers,2000-05-20,0,0,F,singapore,Gombak United (Singapore),Sembawang Rangers (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Balestier Khalsa,Geylang United,2000-06-08,0,1,F,singapore,Balestier Khalsa (Singapore),Geylang United (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Woodlands Wellington,Sembawang Rangers,2000-06-08,1,2,F,singapore,Woodlands Wellington (Singapore),Sembawang Rangers (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Sengkang Marines,Clementi Khalsa,2000-06-09,1,1,F,singapore,Sengkang Marines (Singapore),Clementi Khalsa (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Albirex Niigate FC,Gombak United,2000-06-09,2,1,F,singapore,Albirex Niigate FC (Singapore),Gombak United (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Tampines Rovers,Warriors FC,2000-06-10,1,1,F,singapore,Tampines Rovers (Singapore),Warriors FC (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Home United,Tanjong Pagar United,2000-06-10,3,1,F,singapore,Home United (Singapore),Tanjong Pagar United (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Gombak United,Tampines Rovers,2000-06-15,3,1,F,singapore,Gombak United (Singapore),Tampines Rovers (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Tanjong Pagar United,Woodlands Wellington,2000-06-15,2,2,F,singapore,Tanjong Pagar United (Singapore),Woodlands Wellington (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Clementi Khalsa,Albirex Niigate FC,2000-06-16,2,1,F,singapore,Clementi Khalsa (Singapore),Albirex Niigate FC (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Sembawang Rangers,Sengkang Marines,2000-06-16,1,0,F,singapore,Sembawang Rangers (Singapore),Sengkang Marines (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Geylang United,Home United,2000-06-17,2,2,F,singapore,Geylang United (Singapore),Home United (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Warriors FC,Balestier Khalsa,2000-06-17,6,2,F,singapore,Warriors FC (Singapore),Balestier Khalsa (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Clementi Khalsa,Geylang United,2000-06-22,3,2,F,singapore,Clementi Khalsa (Singapore),Geylang United (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Woodlands Wellington,Gombak United,2000-06-22,0,1,F,singapore,Woodlands Wellington (Singapore),Gombak United (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Albirex Niigate FC,Balestier Khalsa,2000-06-23,1,1,F,singapore,Albirex Niigate FC (Singapore),Balestier Khalsa (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Home United,Tampines Rovers,2000-06-23,1,1,F,singapore,Home United (Singapore),Tampines Rovers (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Sengkang Marines,Warriors FC,2000-06-24,0,1,F,singapore,Sengkang Marines (Singapore),Warriors FC (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Sembawang Rangers,Tanjong Pagar United,2000-06-24,0,6,F,singapore,Sembawang Rangers (Singapore),Tanjong Pagar United (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Tampines Rovers,Woodlands Wellington,2000-06-29,3,1,F,singapore,Tampines Rovers (Singapore),Woodlands Wellington (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Balestier Khalsa,Home United,2000-06-29,0,1,F,singapore,Balestier Khalsa (Singapore),Home United (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Geylang United,Sembawang Rangers,2000-06-30,2,1,F,singapore,Geylang United (Singapore),Sembawang Rangers (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Warriors FC,Clementi Khalsa,2000-06-30,4,0,F,singapore,Warriors FC (Singapore),Clementi Khalsa (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Tanjong Pagar United,Albirex Niigate FC,2000-07-01,1,1,F,singapore,Tanjong Pagar United (Singapore),Albirex Niigate FC (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Gombak United,Sengkang Marines,2000-07-01,1,0,F,singapore,Gombak United (Singapore),Sengkang Marines (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Geylang United,Warriors FC,2000-07-06,0,3,F,singapore,Geylang United (Singapore),Warriors FC (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Sembawang Rangers,Tampines Rovers,2000-07-06,1,0,F,singapore,Sembawang Rangers (Singapore),Tampines Rovers (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Tanjong Pagar United,Gombak United,2000-07-07,1,2,F,singapore,Tanjong Pagar United (Singapore),Gombak United (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Clementi Khalsa,Balestier Khalsa,2000-07-07,1,1,F,singapore,Clementi Khalsa (Singapore),Balestier Khalsa (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Sengkang Marines,Home United,2000-07-08,1,2,F,singapore,Sengkang Marines (Singapore),Home United (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Albirex Niigate FC,Woodlands Wellington,2000-07-08,1,1,F,singapore,Albirex Niigate FC (Singapore),Woodlands Wellington (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Tampines Rovers,Tanjong Pagar United,2000-07-13,0,1,F,singapore,Tampines Rovers (Singapore),Tanjong Pagar United (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Home United,Clementi Khalsa,2000-07-13,1,1,F,singapore,Home United (Singapore),Clementi Khalsa (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Woodlands Wellington,Sengkang Marines,2000-07-14,2,0,F,singapore,Woodlands Wellington (Singapore),Sengkang Marines (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Gombak United,Geylang United,2000-07-14,3,1,F,singapore,Gombak United (Singapore),Geylang United (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Warriors FC,Albirex Niigate FC,2000-07-15,4,1,F,singapore,Warriors FC (Singapore),Albirex Niigate FC (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Balestier Khalsa,Sembawang Rangers,2000-07-15,1,1,F,singapore,Balestier Khalsa (Singapore),Sembawang Rangers (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Albirex Niigate FC,Tampines Rovers,2000-07-20,2,4,F,singapore,Albirex Niigate FC (Singapore),Tampines Rovers (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Home United,Warriors FC,2000-07-20,2,2,F,singapore,Home United (Singapore),Warriors FC (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Balestier Khalsa,Gombak United,2000-07-21,0,3,F,singapore,Balestier Khalsa (Singapore),Gombak United (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Sengkang Marines,Tanjong Pagar United,2000-07-21,0,7,F,singapore,Sengkang Marines (Singapore),Tanjong Pagar United (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Clementi Khalsa,Sembawang Rangers,2000-07-22,2,2,F,singapore,Clementi Khalsa (Singapore),Sembawang Rangers (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Geylang United,Woodlands Wellington,2000-07-22,2,0,F,singapore,Geylang United (Singapore),Woodlands Wellington (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Tanjong Pagar United,Clementi Khalsa,2000-07-27,3,3,F,singapore,Tanjong Pagar United (Singapore),Clementi Khalsa (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Sengkang Marines,Geylang United,2000-07-27,0,1,F,singapore,Sengkang Marines (Singapore),Geylang United (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Woodlands Wellington,Warriors FC,2000-07-28,0,3,F,singapore,Woodlands Wellington (Singapore),Warriors FC (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Gombak United,Home United,2000-07-28,1,0,F,singapore,Gombak United (Singapore),Home United (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Sembawang Rangers,Albirex Niigate FC,2000-07-29,0,0,F,singapore,Sembawang Rangers (Singapore),Albirex Niigate FC (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Tampines Rovers,Balestier Khalsa,2000-07-29,1,2,F,singapore,Tampines Rovers (Singapore),Balestier Khalsa (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Albirex Niigate FC,Home United,2000-08-03,1,4,F,singapore,Albirex Niigate FC (Singapore),Home United (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Geylang United,Tanjong Pagar United,2000-08-03,1,0,F,singapore,Geylang United (Singapore),Tanjong Pagar United (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Warriors FC,Sembawang Rangers,2000-08-04,6,2,F,singapore,Warriors FC (Singapore),Sembawang Rangers (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Clementi Khalsa,Gombak United,2000-08-04,4,3,F,singapore,Clementi Khalsa (Singapore),Gombak United (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Balestier Khalsa,Woodlands Wellington,2000-08-05,1,0,F,singapore,Balestier Khalsa (Singapore),Woodlands Wellington (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Tampines Rovers,Sengkang Marines,2000-08-05,2,0,F,singapore,Tampines Rovers (Singapore),Sengkang Marines (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Gombak United,Warriors FC,2000-08-10,1,1,F,singapore,Gombak United (Singapore),Warriors FC (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Sengkang Marines,Albirex Niigate FC,2000-08-10,2,1,F,singapore,Sengkang Marines (Singapore),Albirex Niigate FC (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Home United,Sembawang Rangers,2000-08-11,1,0,F,singapore,Home United (Singapore),Sembawang Rangers (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Tanjong Pagar United,Balestier Khalsa,2000-08-11,2,1,F,singapore,Tanjong Pagar United (Singapore),Balestier Khalsa (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Clementi Khalsa,Woodlands Wellington,2000-08-12,2,2,F,singapore,Clementi Khalsa (Singapore),Woodlands Wellington (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Geylang United,Tampines Rovers,2000-08-12,0,0,F,singapore,Geylang United (Singapore),Tampines Rovers (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Sembawang Rangers,Gombak United,2000-08-18,1,0,F,singapore,Sembawang Rangers (Singapore),Gombak United (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Albirex Niigate FC,Geylang United,2000-08-18,3,4,F,singapore,Albirex Niigate FC (Singapore),Geylang United (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Woodlands Wellington,Home United,2000-08-18,0,1,F,singapore,Woodlands Wellington (Singapore),Home United (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Warriors FC,Tanjong Pagar United,2000-08-18,0,1,F,singapore,Warriors FC (Singapore),Tanjong Pagar United (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Balestier Khalsa,Sengkang Marines,2000-08-18,1,1,F,singapore,Balestier Khalsa (Singapore),Sengkang Marines (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Tampines Rovers,Clementi Khalsa,2000-08-18,1,1,F,singapore,Tampines Rovers (Singapore),Clementi Khalsa (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Tampines Rovers,Geylang United,2001-03-15,1,2,F,singapore,Tampines Rovers (Singapore),Geylang United (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Sengkang Marines,Tanjong Pagar United,2001-03-15,0,1,F,singapore,Sengkang Marines (Singapore),Tanjong Pagar United (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Balestier Khalsa,Gombak United,2001-03-16,1,2,F,singapore,Balestier Khalsa (Singapore),Gombak United (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Woodlands Wellington,Clementi Khalsa,2001-03-16,1,1,F,singapore,Woodlands Wellington (Singapore),Clementi Khalsa (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Home United,Sembawang Rangers,2001-03-17,2,3,F,singapore,Home United (Singapore),Sembawang Rangers (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Albirex Niigate FC,Warriors FC,2001-03-17,2,2,F,singapore,Albirex Niigate FC (Singapore),Warriors FC (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Clementi Khalsa,Sengkang Marines,2001-03-22,1,1,F,singapore,Clementi Khalsa (Singapore),Sengkang Marines (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Sembawang Rangers,Tampines Rovers,2001-03-22,2,1,F,singapore,Sembawang Rangers (Singapore),Tampines Rovers (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Gombak United,Woodlands Wellington,2001-03-23,1,3,F,singapore,Gombak United (Singapore),Woodlands Wellington (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Geylang United,Balestier Khalsa,2001-03-23,1,0,F,singapore,Geylang United (Singapore),Balestier Khalsa (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Warriors FC,Home United,2001-03-24,2,0,F,singapore,Warriors FC (Singapore),Home United (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Tanjong Pagar United,Albirex Niigate FC,2001-03-24,5,1,F,singapore,Tanjong Pagar United (Singapore),Albirex Niigate FC (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Sengkang Marines,Woodlands Wellington,2001-03-29,0,2,F,singapore,Sengkang Marines (Singapore),Woodlands Wellington (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Home United,Albirex Niigate FC,2001-03-29,3,2,F,singapore,Home United (Singapore),Albirex Niigate FC (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Tanjong Pagar United,Clementi Khalsa,2001-03-30,1,1,F,singapore,Tanjong Pagar United (Singapore),Clementi Khalsa (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Sembawang Rangers,Warriors FC,2001-03-30,0,6,F,singapore,Sembawang Rangers (Singapore),Warriors FC (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Balestier Khalsa,Tampines Rovers,2001-03-31,1,0,F,singapore,Balestier Khalsa (Singapore),Tampines Rovers (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Gombak United,Geylang United,2001-03-31,0,0,F,singapore,Gombak United (Singapore),Geylang United (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Clementi Khalsa,Sembawang Rangers,2001-04-05,4,1,F,singapore,Clementi Khalsa (Singapore),Sembawang Rangers (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Albirex Niigate FC,Balestier Khalsa,2001-04-05,1,0,F,singapore,Albirex Niigate FC (Singapore),Balestier Khalsa (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Warriors FC,Gombak United,2001-04-06,3,2,F,singapore,Warriors FC (Singapore),Gombak United (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Geylang United,Tanjong Pagar United,2001-04-06,4,2,F,singapore,Geylang United (Singapore),Tanjong Pagar United (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Tampines Rovers,Sengkang Marines,2001-04-07,2,0,F,singapore,Tampines Rovers (Singapore),Sengkang Marines (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
Woodlands Wellington,Home United,2001-04-07,0,2,F,singapore,Woodlands Wellington (Singapore),Home United (Singapore),singapore,singapore,SG,SG,Asia,Asia,Asia,national
