home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Hnk Rijeka,Hnk Sibenik,1992-02-29,2,0,F,croatia,Hnk Rijeka (Croatia),Hnk Sibenik (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Osijek,Nk Zagreb,1992-02-29,1,0,F,croatia,Nk Osijek (Croatia),Nk Zagreb (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Inter Zapresic,Nk Varazdin Sn,1992-02-29,1,3,F,croatia,Nk Inter Zapresic (Croatia),Nk Varazdin Sn (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Hajduk Split,Nk Istra Pula,1992-02-29,3,1,F,croatia,Hajduk Split (Croatia),Nk Istra Pula (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Dinamo Zagreb,Cibalia Vinkovci,1992-02-29,2,0,F,croatia,Dinamo Zagreb (Croatia),Cibalia Vinkovci (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Hnk Dubrovnik,Nk Zadar,1992-02-29,0,2,F,croatia,Hnk Dubrovnik (Croatia),Nk Zadar (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Zagreb,Nk Inter Zapresic,1992-03-07,2,0,F,croatia,Nk Zagreb (Croatia),Nk Inter Zapresic (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Zadar,Nk Varazdin Sn,1992-03-07,2,1,F,croatia,Nk Zadar (Croatia),Nk Varazdin Sn (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Istra Pula,Hnk Rijeka,1992-03-07,1,1,F,croatia,Nk Istra Pula (Croatia),Hnk Rijeka (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Hnk Dubrovnik,Dinamo Zagreb,1992-03-07,0,3,F,croatia,Hnk Dubrovnik (Croatia),Dinamo Zagreb (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Cibalia Vinkovci,Hajduk Split,1992-03-07,0,2,F,croatia,Cibalia Vinkovci (Croatia),Hajduk Split (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Hnk Sibenik,Nk Osijek,1992-03-07,0,2,F,croatia,Hnk Sibenik (Croatia),Nk Osijek (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Varazdin Sn,Nk Zagreb,1992-03-11,2,1,F,croatia,Nk Varazdin Sn (Croatia),Nk Zagreb (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Hnk Rijeka,Cibalia Vinkovci,1992-03-11,1,0,F,croatia,Hnk Rijeka (Croatia),Cibalia Vinkovci (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Osijek,Nk Istra Pula,1992-03-11,0,1,F,croatia,Nk Osijek (Croatia),Nk Istra Pula (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Inter Zapresic,Hnk Sibenik,1992-03-11,6,0,F,croatia,Nk Inter Zapresic (Croatia),Hnk Sibenik (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Hajduk Split,Hnk Dubrovnik,1992-03-11,9,0,F,croatia,Hajduk Split (Croatia),Hnk Dubrovnik (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Dinamo Zagreb,Nk Zadar,1992-03-11,3,0,F,croatia,Dinamo Zagreb (Croatia),Nk Zadar (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Zadar,Nk Zagreb,1992-03-14,0,4,F,croatia,Nk Zadar (Croatia),Nk Zagreb (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Istra Pula,Nk Inter Zapresic,1992-03-14,2,0,F,croatia,Nk Istra Pula (Croatia),Nk Inter Zapresic (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Dinamo Zagreb,Hajduk Split,1992-03-14,1,2,F,croatia,Dinamo Zagreb (Croatia),Hajduk Split (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Hnk Dubrovnik,Hnk Rijeka,1992-03-14,0,1,F,croatia,Hnk Dubrovnik (Croatia),Hnk Rijeka (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Cibalia Vinkovci,Nk Osijek,1992-03-14,1,1,F,croatia,Cibalia Vinkovci (Croatia),Nk Osijek (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Hnk Sibenik,Nk Varazdin Sn,1992-03-14,2,2,F,croatia,Hnk Sibenik (Croatia),Nk Varazdin Sn (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Zagreb,Hnk Sibenik,1992-03-17,3,0,F,croatia,Nk Zagreb (Croatia),Hnk Sibenik (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Varazdin Sn,Nk Istra Pula,1992-03-17,1,1,F,croatia,Nk Varazdin Sn (Croatia),Nk Istra Pula (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Hnk Rijeka,Dinamo Zagreb,1992-03-17,1,0,F,croatia,Hnk Rijeka (Croatia),Dinamo Zagreb (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Osijek,Hnk Dubrovnik,1992-03-17,1,0,F,croatia,Nk Osijek (Croatia),Hnk Dubrovnik (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Inter Zapresic,Cibalia Vinkovci,1992-03-17,0,0,F,croatia,Nk Inter Zapresic (Croatia),Cibalia Vinkovci (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Hajduk Split,Nk Zadar,1992-03-17,2,0,F,croatia,Hajduk Split (Croatia),Nk Zadar (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Zadar,Hnk Sibenik,1992-03-21,1,1,F,croatia,Nk Zadar (Croatia),Hnk Sibenik (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Istra Pula,Nk Zagreb,1992-03-21,0,2,F,croatia,Nk Istra Pula (Croatia),Nk Zagreb (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Hajduk Split,Hnk Rijeka,1992-03-21,3,0,F,croatia,Hajduk Split (Croatia),Hnk Rijeka (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Dinamo Zagreb,Nk Osijek,1992-03-21,2,0,F,croatia,Dinamo Zagreb (Croatia),Nk Osijek (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Hnk Dubrovnik,Nk Inter Zapresic,1992-03-21,0,3,F,croatia,Hnk Dubrovnik (Croatia),Nk Inter Zapresic (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Cibalia Vinkovci,Nk Varazdin Sn,1992-03-21,2,1,F,croatia,Cibalia Vinkovci (Croatia),Nk Varazdin Sn (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Zagreb,Cibalia Vinkovci,1992-03-28,2,1,F,croatia,Nk Zagreb (Croatia),Cibalia Vinkovci (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Varazdin Sn,Hnk Dubrovnik,1992-03-28,2,0,F,croatia,Nk Varazdin Sn (Croatia),Hnk Dubrovnik (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Hnk Rijeka,Nk Zadar,1992-03-28,4,1,F,croatia,Hnk Rijeka (Croatia),Nk Zadar (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Osijek,Hajduk Split,1992-03-28,3,3,F,croatia,Nk Osijek (Croatia),Hajduk Split (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Inter Zapresic,Dinamo Zagreb,1992-03-28,2,1,F,croatia,Nk Inter Zapresic (Croatia),Dinamo Zagreb (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Hnk Sibenik,Nk Istra Pula,1992-03-28,0,0,F,croatia,Hnk Sibenik (Croatia),Nk Istra Pula (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Zadar,Nk Istra Pula,1992-03-31,0,1,F,croatia,Nk Zadar (Croatia),Nk Istra Pula (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Hnk Rijeka,Nk Osijek,1992-03-31,2,0,F,croatia,Hnk Rijeka (Croatia),Nk Osijek (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Hajduk Split,Nk Inter Zapresic,1992-03-31,0,2,F,croatia,Hajduk Split (Croatia),Nk Inter Zapresic (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Dinamo Zagreb,Nk Varazdin Sn,1992-03-31,4,0,F,croatia,Dinamo Zagreb (Croatia),Nk Varazdin Sn (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Hnk Dubrovnik,Nk Zagreb,1992-03-31,0,0,F,croatia,Hnk Dubrovnik (Croatia),Nk Zagreb (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Cibalia Vinkovci,Hnk Sibenik,1992-03-31,0,0,F,croatia,Cibalia Vinkovci (Croatia),Hnk Sibenik (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Zagreb,Dinamo Zagreb,1992-04-04,2,0,F,croatia,Nk Zagreb (Croatia),Dinamo Zagreb (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Varazdin Sn,Hajduk Split,1992-04-04,0,1,F,croatia,Nk Varazdin Sn (Croatia),Hajduk Split (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Osijek,Nk Zadar,1992-04-04,4,0,F,croatia,Nk Osijek (Croatia),Nk Zadar (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Istra Pula,Cibalia Vinkovci,1992-04-04,2,0,F,croatia,Nk Istra Pula (Croatia),Cibalia Vinkovci (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Inter Zapresic,Hnk Rijeka,1992-04-04,3,0,F,croatia,Nk Inter Zapresic (Croatia),Hnk Rijeka (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Hnk Sibenik,Hnk Dubrovnik,1992-04-04,0,0,F,croatia,Hnk Sibenik (Croatia),Hnk Dubrovnik (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Zadar,Cibalia Vinkovci,1992-04-11,2,2,F,croatia,Nk Zadar (Croatia),Cibalia Vinkovci (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Hnk Rijeka,Nk Varazdin Sn,1992-04-11,1,0,F,croatia,Hnk Rijeka (Croatia),Nk Varazdin Sn (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Osijek,Nk Inter Zapresic,1992-04-11,2,1,F,croatia,Nk Osijek (Croatia),Nk Inter Zapresic (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Hajduk Split,Nk Zagreb,1992-04-11,1,0,F,croatia,Hajduk Split (Croatia),Nk Zagreb (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Dinamo Zagreb,Hnk Sibenik,1992-04-11,2,0,F,croatia,Dinamo Zagreb (Croatia),Hnk Sibenik (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Hnk Dubrovnik,Nk Istra Pula,1992-04-11,1,0,F,croatia,Hnk Dubrovnik (Croatia),Nk Istra Pula (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Zagreb,Hnk Rijeka,1992-04-14,1,0,F,croatia,Nk Zagreb (Croatia),Hnk Rijeka (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Varazdin Sn,Nk Osijek,1992-04-14,0,1,F,croatia,Nk Varazdin Sn (Croatia),Nk Osijek (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Istra Pula,Dinamo Zagreb,1992-04-14,1,1,F,croatia,Nk Istra Pula (Croatia),Dinamo Zagreb (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Inter Zapresic,Nk Zadar,1992-04-14,2,1,F,croatia,Nk Inter Zapresic (Croatia),Nk Zadar (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Cibalia Vinkovci,Hnk Dubrovnik,1992-04-14,0,0,F,croatia,Cibalia Vinkovci (Croatia),Hnk Dubrovnik (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Hnk Sibenik,Hajduk Split,1992-04-14,2,3,F,croatia,Hnk Sibenik (Croatia),Hajduk Split (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Zagreb,Nk Osijek,1992-04-25,2,0,F,croatia,Nk Zagreb (Croatia),Nk Osijek (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Zadar,Hnk Dubrovnik,1992-04-25,0,0,F,croatia,Nk Zadar (Croatia),Hnk Dubrovnik (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Varazdin Sn,Nk Inter Zapresic,1992-04-25,1,1,F,croatia,Nk Varazdin Sn (Croatia),Nk Inter Zapresic (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Istra Pula,Hajduk Split,1992-04-25,0,1,F,croatia,Nk Istra Pula (Croatia),Hajduk Split (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Cibalia Vinkovci,Dinamo Zagreb,1992-04-25,0,2,F,croatia,Cibalia Vinkovci (Croatia),Dinamo Zagreb (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Hnk Sibenik,Hnk Rijeka,1992-04-25,1,2,F,croatia,Hnk Sibenik (Croatia),Hnk Rijeka (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Varazdin Sn,Nk Zadar,1992-05-02,4,0,F,croatia,Nk Varazdin Sn (Croatia),Nk Zadar (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Hnk Rijeka,Nk Istra Pula,1992-05-02,3,0,F,croatia,Hnk Rijeka (Croatia),Nk Istra Pula (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Osijek,Hnk Sibenik,1992-05-02,3,1,F,croatia,Nk Osijek (Croatia),Hnk Sibenik (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Inter Zapresic,Nk Zagreb,1992-05-02,0,0,F,croatia,Nk Inter Zapresic (Croatia),Nk Zagreb (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Hajduk Split,Cibalia Vinkovci,1992-05-02,1,1,F,croatia,Hajduk Split (Croatia),Cibalia Vinkovci (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Dinamo Zagreb,Hnk Dubrovnik,1992-05-02,2,1,F,croatia,Dinamo Zagreb (Croatia),Hnk Dubrovnik (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Zagreb,Nk Varazdin Sn,1992-05-05,2,2,F,croatia,Nk Zagreb (Croatia),Nk Varazdin Sn (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Zadar,Dinamo Zagreb,1992-05-05,1,1,F,croatia,Nk Zadar (Croatia),Dinamo Zagreb (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Istra Pula,Nk Osijek,1992-05-05,1,2,F,croatia,Nk Istra Pula (Croatia),Nk Osijek (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Hnk Dubrovnik,Hajduk Split,1992-05-05,0,1,F,croatia,Hnk Dubrovnik (Croatia),Hajduk Split (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Cibalia Vinkovci,Hnk Rijeka,1992-05-05,2,0,F,croatia,Cibalia Vinkovci (Croatia),Hnk Rijeka (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Hnk Sibenik,Nk Inter Zapresic,1992-05-05,1,1,F,croatia,Hnk Sibenik (Croatia),Nk Inter Zapresic (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Zagreb,Nk Zadar,1992-05-09,2,0,F,croatia,Nk Zagreb (Croatia),Nk Zadar (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Varazdin Sn,Hnk Sibenik,1992-05-09,4,0,F,croatia,Nk Varazdin Sn (Croatia),Hnk Sibenik (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Hnk Rijeka,Hnk Dubrovnik,1992-05-09,3,0,F,croatia,Hnk Rijeka (Croatia),Hnk Dubrovnik (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Osijek,Cibalia Vinkovci,1992-05-09,2,1,F,croatia,Nk Osijek (Croatia),Cibalia Vinkovci (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Inter Zapresic,Nk Istra Pula,1992-05-09,4,1,F,croatia,Nk Inter Zapresic (Croatia),Nk Istra Pula (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Hajduk Split,Dinamo Zagreb,1992-05-09,0,0,F,croatia,Hajduk Split (Croatia),Dinamo Zagreb (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Zadar,Hajduk Split,1992-05-12,0,3,F,croatia,Nk Zadar (Croatia),Hajduk Split (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Istra Pula,Nk Varazdin Sn,1992-05-12,2,1,F,croatia,Nk Istra Pula (Croatia),Nk Varazdin Sn (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Dinamo Zagreb,Hnk Rijeka,1992-05-12,2,0,F,croatia,Dinamo Zagreb (Croatia),Hnk Rijeka (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Hnk Dubrovnik,Nk Osijek,1992-05-12,0,0,F,croatia,Hnk Dubrovnik (Croatia),Nk Osijek (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Cibalia Vinkovci,Nk Inter Zapresic,1992-05-12,1,0,F,croatia,Cibalia Vinkovci (Croatia),Nk Inter Zapresic (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Hnk Sibenik,Nk Zagreb,1992-05-12,0,1,F,croatia,Hnk Sibenik (Croatia),Nk Zagreb (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Zagreb,Nk Istra Pula,1992-05-16,2,1,F,croatia,Nk Zagreb (Croatia),Nk Istra Pula (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Varazdin Sn,Cibalia Vinkovci,1992-05-16,2,0,F,croatia,Nk Varazdin Sn (Croatia),Cibalia Vinkovci (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Hnk Rijeka,Hajduk Split,1992-05-16,0,2,F,croatia,Hnk Rijeka (Croatia),Hajduk Split (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Osijek,Dinamo Zagreb,1992-05-16,1,2,F,croatia,Nk Osijek (Croatia),Dinamo Zagreb (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Inter Zapresic,Hnk Dubrovnik,1992-05-16,3,0,F,croatia,Nk Inter Zapresic (Croatia),Hnk Dubrovnik (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Hnk Sibenik,Nk Zadar,1992-05-16,4,0,F,croatia,Hnk Sibenik (Croatia),Nk Zadar (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Zadar,Hnk Rijeka,1992-05-23,1,1,F,croatia,Nk Zadar (Croatia),Hnk Rijeka (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Istra Pula,Hnk Sibenik,1992-05-23,1,0,F,croatia,Nk Istra Pula (Croatia),Hnk Sibenik (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Hajduk Split,Nk Osijek,1992-05-23,2,0,F,croatia,Hajduk Split (Croatia),Nk Osijek (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Dinamo Zagreb,Nk Inter Zapresic,1992-05-23,0,2,F,croatia,Dinamo Zagreb (Croatia),Nk Inter Zapresic (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Hnk Dubrovnik,Nk Varazdin Sn,1992-05-23,0,0,F,croatia,Hnk Dubrovnik (Croatia),Nk Varazdin Sn (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Cibalia Vinkovci,Nk Zagreb,1992-05-23,0,1,F,croatia,Cibalia Vinkovci (Croatia),Nk Zagreb (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Zagreb,Hnk Dubrovnik,1992-05-26,3,0,F,croatia,Nk Zagreb (Croatia),Hnk Dubrovnik (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Varazdin Sn,Dinamo Zagreb,1992-05-26,4,0,F,croatia,Nk Varazdin Sn (Croatia),Dinamo Zagreb (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Osijek,Hnk Rijeka,1992-05-26,3,2,F,croatia,Nk Osijek (Croatia),Hnk Rijeka (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Istra Pula,Nk Zadar,1992-05-26,2,1,F,croatia,Nk Istra Pula (Croatia),Nk Zadar (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Inter Zapresic,Hajduk Split,1992-05-26,0,0,F,croatia,Nk Inter Zapresic (Croatia),Hajduk Split (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Hnk Sibenik,Cibalia Vinkovci,1992-05-26,1,1,F,croatia,Hnk Sibenik (Croatia),Cibalia Vinkovci (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Zadar,Nk Osijek,1992-05-31,3,5,F,croatia,Nk Zadar (Croatia),Nk Osijek (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Hnk Rijeka,Nk Inter Zapresic,1992-05-31,0,0,F,croatia,Hnk Rijeka (Croatia),Nk Inter Zapresic (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Hajduk Split,Nk Varazdin Sn,1992-05-31,1,0,F,croatia,Hajduk Split (Croatia),Nk Varazdin Sn (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Dinamo Zagreb,Nk Zagreb,1992-05-31,0,0,F,croatia,Dinamo Zagreb (Croatia),Nk Zagreb (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Hnk Dubrovnik,Hnk Sibenik,1992-05-31,2,1,F,croatia,Hnk Dubrovnik (Croatia),Hnk Sibenik (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Cibalia Vinkovci,Nk Istra Pula,1992-05-31,1,1,F,croatia,Cibalia Vinkovci (Croatia),Nk Istra Pula (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Zagreb,Hajduk Split,1992-06-06,3,0,F,croatia,Nk Zagreb (Croatia),Hajduk Split (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Varazdin Sn,Hnk Rijeka,1992-06-06,1,1,F,croatia,Nk Varazdin Sn (Croatia),Hnk Rijeka (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Istra Pula,Hnk Dubrovnik,1992-06-06,2,0,F,croatia,Nk Istra Pula (Croatia),Hnk Dubrovnik (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Inter Zapresic,Nk Osijek,1992-06-06,3,0,F,croatia,Nk Inter Zapresic (Croatia),Nk Osijek (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Cibalia Vinkovci,Nk Zadar,1992-06-06,0,1,F,croatia,Cibalia Vinkovci (Croatia),Nk Zadar (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Hnk Sibenik,Dinamo Zagreb,1992-06-06,3,1,F,croatia,Hnk Sibenik (Croatia),Dinamo Zagreb (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Zadar,Nk Inter Zapresic,1992-06-13,4,3,F,croatia,Nk Zadar (Croatia),Nk Inter Zapresic (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Hnk Rijeka,Nk Zagreb,1992-06-13,1,1,F,croatia,Hnk Rijeka (Croatia),Nk Zagreb (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Osijek,Nk Varazdin Sn,1992-06-13,2,1,F,croatia,Nk Osijek (Croatia),Nk Varazdin Sn (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Hajduk Split,Hnk Sibenik,1992-06-13,4,1,F,croatia,Hajduk Split (Croatia),Hnk Sibenik (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Dinamo Zagreb,Nk Istra Pula,1992-06-13,3,1,F,croatia,Dinamo Zagreb (Croatia),Nk Istra Pula (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Hnk Dubrovnik,Cibalia Vinkovci,1992-06-13,0,0,F,croatia,Hnk Dubrovnik (Croatia),Cibalia Vinkovci (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Zagreb,Hnk Segesta,1992-08-23,5,1,F,croatia,Nk Zagreb (Croatia),Hnk Segesta (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Varazdin Sn,Dinamo Zagreb,1992-08-23,3,3,F,croatia,Nk Varazdin Sn (Croatia),Dinamo Zagreb (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Hnk Rijeka,Nk Pazinka Pazin,1992-08-23,2,0,F,croatia,Hnk Rijeka (Croatia),Nk Pazinka Pazin (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Hnk Gorica,Nk Zadar,1992-08-23,1,0,F,croatia,Hnk Gorica (Croatia),Nk Zadar (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Osijek,Hnk Sibenik,1992-08-23,2,0,F,croatia,Nk Osijek (Croatia),Hnk Sibenik (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Istra Pula,Nk Belisce,1992-08-23,3,0,F,croatia,Nk Istra Pula (Croatia),Nk Belisce (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Inter Zapresic,Hnk Dubrovnik,1992-08-23,4,0,F,croatia,Nk Inter Zapresic (Croatia),Hnk Dubrovnik (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Hajduk Split,Cibalia Vinkovci,1992-08-23,3,0,F,croatia,Hajduk Split (Croatia),Cibalia Vinkovci (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Zagreb,Nk Istra Pula,1992-08-30,1,0,F,croatia,Nk Zagreb (Croatia),Nk Istra Pula (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Zadar,Nk Osijek,1992-08-30,2,1,F,croatia,Nk Zadar (Croatia),Nk Osijek (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Hnk Segesta,Dinamo Zagreb,1992-08-30,1,3,F,croatia,Hnk Segesta (Croatia),Dinamo Zagreb (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Pazinka Pazin,Nk Varazdin Sn,1992-08-30,0,2,F,croatia,Nk Pazinka Pazin (Croatia),Nk Varazdin Sn (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
Nk Inter Zapresic,Hnk Rijeka,1992-08-30,1,1,F,croatia,Nk Inter Zapresic (Croatia),Hnk Rijeka (Croatia),croatia,croatia,HR,HR,Europe,Europe,Europe,national
