home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Pinar Del Rio,Pumas Unam,1990-01-16,1,1,F,CONCACAF CC,Pinar Del Rio (Cuba),Pumas Unam (Mexico),cuba,mexico,CU,MX,North America,North America,North America,international
Pumas Unam,Pinar Del Rio,1990-02-06,3,1,F,CONCACAF CC,Pumas Unam (Mexico),Pinar Del Rio (Cuba),mexico,cuba,MX,CU,North America,North America,North America,international
CF America,CD Olimpia,1990-11-12,3,0,F,CONCACAF CC,CF America (Mexico),CD Olimpia (Honduras),mexico,honduras,MX,HN,North America,North America,North America,international
CD Olimpia,CF America,1990-11-14,2,1,F,CONCACAF CC,CD Olimpia (Honduras),CF America (Mexico),honduras,mexico,HN,MX,North America,North America,North America,international
Pinar Del Rio,CF America,1991-02-19,2,2,F,CONCACAF CC,Pinar Del Rio (Cuba),CF America (Mexico),cuba,mexico,CU,MX,North America,North America,North America,international
CF America,Pinar Del Rio,1991-03-12,6,0,F,CONCACAF CC,CF America (Mexico),Pinar Del Rio (Cuba),mexico,cuba,MX,CU,North America,North America,North America,international
Real CD Espana,Police FC,1991-09-08,0,0,F,CONCACAF CC,Real CD Espana (Honduras),Police FC (Trinidad And Tobago),honduras,trinidad-and-tobago,HN,TT,North America,North America,North America,international
Police FC,Real CD Espana,1991-09-15,1,0,F,CONCACAF CC,Police FC (Trinidad And Tobago),Real CD Espana (Honduras),trinidad-and-tobago,honduras,TT,HN,North America,North America,North America,international
Puebla FC,Police FC,1991-09-18,3,1,F,CONCACAF CC,Puebla FC (Mexico),Police FC (Trinidad And Tobago),mexico,trinidad-and-tobago,MX,TT,North America,North America,North America,international
Police FC,Puebla FC,1991-09-24,1,1,F,CONCACAF CC,Police FC (Trinidad And Tobago),Puebla FC (Mexico),trinidad-and-tobago,mexico,TT,MX,North America,North America,North America,international
Ld Alajuelense,Laiglon Du Lamentin,1992-10-04,2,1,F,CONCACAF CC,Ld Alajuelense (Costa Rica),Laiglon Du Lamentin (Martinique),costa-rica,martinique,CR,MQ,North America,North America,North America,international
CF America,Robin Hood,1992-10-04,7,0,F,CONCACAF CC,CF America (Mexico),Robin Hood (Surinam),mexico,surinam,MX,SUR,North America,South America,North America,international
CF America,Ld Alajuelense,1993-01-05,1,0,F,CONCACAF CC,CF America (Mexico),Ld Alajuelense (Costa Rica),mexico,costa-rica,MX,CR,North America,North America,North America,international
Deportivo Saprissa,Club Leon,1993-12-01,2,2,F,CONCACAF CC,Deportivo Saprissa (Costa Rica),Club Leon (Mexico),costa-rica,mexico,CR,MX,North America,North America,North America,international
CSd Municipal,Robin Hood,1993-12-01,3,0,F,CONCACAF CC,CSd Municipal (Guatemala),Robin Hood (Surinam),guatemala,surinam,GT,SUR,North America,South America,North America,international
CSd Municipal,Deportivo Saprissa,1993-12-03,0,0,F,CONCACAF CC,CSd Municipal (Guatemala),Deportivo Saprissa (Costa Rica),guatemala,costa-rica,GT,CR,North America,North America,North America,international
Deportivo Saprissa,Robin Hood,1993-12-05,9,1,F,CONCACAF CC,Deportivo Saprissa (Costa Rica),Robin Hood (Surinam),costa-rica,surinam,CR,SUR,North America,South America,North America,international
CSd Municipal,Club Leon,1993-12-05,0,0,F,CONCACAF CC,CSd Municipal (Guatemala),Club Leon (Mexico),guatemala,mexico,GT,MX,North America,North America,North America,international
Club Sport Cartagines,Union Sportive Robert,1995-02-03,0,0,P,CONCACAF CC,Club Sport Cartagines (Costa Rica),Union Sportive Robert (Martinique),costa-rica,martinique,CR,MQ,North America,North America,North America,international
CF Atlante,Alianza FC,1995-02-03,2,1,F,CONCACAF CC,CF Atlante (Mexico),Alianza FC (El Salvador),mexico,el-salvador,MX,SV,North America,North America,North America,international
Union Sportive Robert,Alianza FC,1995-02-05,0,0,P,CONCACAF CC,Union Sportive Robert (Martinique),Alianza FC (El Salvador),martinique,el-salvador,MQ,SV,North America,North America,North America,international
Club Sport Cartagines,CF Atlante,1995-02-05,3,2,F,CONCACAF CC,Club Sport Cartagines (Costa Rica),CF Atlante (Mexico),costa-rica,mexico,CR,MX,North America,North America,North America,international
Club Leon,Robin Hood,1995-12-03,4,0,F,CONCACAF CC,Club Leon (Mexico),Robin Hood (Surinam),mexico,surinam,MX,SUR,North America,South America,North America,international
Ld Alajuelense,CSd Municipal,1995-12-13,2,3,F,CONCACAF CC,Ld Alajuelense (Costa Rica),CSd Municipal (Guatemala),costa-rica,guatemala,CR,GT,North America,North America,North America,international
Deportivo Saprissa,CSd Municipal,1995-12-14,5,0,F,CONCACAF CC,Deportivo Saprissa (Costa Rica),CSd Municipal (Guatemala),costa-rica,guatemala,CR,GT,North America,North America,North America,international
Ld Alajuelense,Club Sportif Moulien,1995-12-15,9,1,F,CONCACAF CC,Ld Alajuelense (Costa Rica),Club Sportif Moulien (Guadeloupe),costa-rica,guadeloupe,CR,GP,North America,North America,North America,international
Deportivo Saprissa,CSd Municipal,1995-12-15,1,0,F,CONCACAF CC,Deportivo Saprissa (Costa Rica),CSd Municipal (Guatemala),costa-rica,guatemala,CR,GT,North America,North America,North America,international
CSd Municipal,Club Sportif Moulien,1995-12-17,10,0,F,CONCACAF CC,CSd Municipal (Guatemala),Club Sportif Moulien (Guadeloupe),guatemala,guadeloupe,GT,GP,North America,North America,North America,international
Ld Alajuelense,Deportivo Saprissa,1995-12-17,2,2,F,CONCACAF CC,Ld Alajuelense (Costa Rica),Deportivo Saprissa (Costa Rica),costa-rica,costa-rica,CR,CR,North America,North America,North America,international
CSd Comunicaciones,Seattle Sounders,1997-07-15,2,0,F,CONCACAF CC,CSd Comunicaciones (Guatemala),Seattle Sounders (United States),guatemala,united-states,GT,US,North America,North America,North America,international
Club Necaxa,Cruz Azul,1997-07-15,1,1,F,CONCACAF CC,Club Necaxa (Mexico),Cruz Azul (Mexico),mexico,mexico,MX,MX,North America,North America,North America,international
CSd Comunicaciones,Cruz Azul,1997-07-17,1,2,F,CONCACAF CC,CSd Comunicaciones (Guatemala),Cruz Azul (Mexico),guatemala,mexico,GT,MX,North America,North America,North America,international
Club Necaxa,Seattle Sounders,1997-07-17,4,1,F,CONCACAF CC,Club Necaxa (Mexico),Seattle Sounders (United States),mexico,united-states,MX,US,North America,North America,North America,international
Cruz Azul,Seattle Sounders,1997-07-20,11,0,F,CONCACAF CC,Cruz Azul (Mexico),Seattle Sounders (United States),mexico,united-states,MX,US,North America,North America,North America,international
CSd Comunicaciones,Club Necaxa,1997-07-20,3,3,F,CONCACAF CC,CSd Comunicaciones (Guatemala),Club Necaxa (Mexico),guatemala,mexico,GT,MX,North America,North America,North America,international
Los Angeles Galaxy,Club Deportivo Luis Angel Firpo,1997-08-13,2,0,F,CONCACAF CC,Los Angeles Galaxy (United States),Club Deportivo Luis Angel Firpo (El Salvador),united-states,el-salvador,US,SV,North America,North America,North America,international
D C United,United Petrotrin,1997-08-13,1,0,F,CONCACAF CC,D C United (United States),United Petrotrin (Trinidad And Tobago),united-states,trinidad-and-tobago,US,TT,North America,North America,North America,international
Cruz Azul,CSd Comunicaciones,1997-08-16,5,0,F,CONCACAF CC,Cruz Azul (Mexico),CSd Comunicaciones (Guatemala),mexico,guatemala,MX,GT,North America,North America,North America,international
Deportivo Guadalajara,Club Sport Cartagines,1997-08-17,1,0,F,CONCACAF CC,Deportivo Guadalajara (Mexico),Club Sport Cartagines (Costa Rica),mexico,costa-rica,MX,CR,North America,North America,North America,international
D C United,Los Angeles Galaxy,1997-08-22,0,1,F,CONCACAF CC,D C United (United States),Los Angeles Galaxy (United States),united-states,united-states,US,US,North America,North America,North America,international
Deportivo Guadalajara,Cruz Azul,1997-08-22,2,3,F,CONCACAF CC,Deportivo Guadalajara (Mexico),Cruz Azul (Mexico),mexico,mexico,MX,MX,North America,North America,North America,international
D C United,Deportivo Guadalajara,1997-08-24,2,2,F,CONCACAF CC,D C United (United States),Deportivo Guadalajara (Mexico),united-states,mexico,US,MX,North America,North America,North America,international
Los Angeles Galaxy,Cruz Azul,1997-08-24,3,5,F,CONCACAF CC,Los Angeles Galaxy (United States),Cruz Azul (Mexico),united-states,mexico,US,MX,North America,North America,North America,international
D C United,Joe Public FC,1998-08-11,8,0,F,CONCACAF CC,D C United (United States),Joe Public FC (Trinidad And Tobago),united-states,trinidad-and-tobago,US,TT,North America,North America,North America,international
Cruz Azul,Deportivo Saprissa,1998-08-11,0,0,P,CONCACAF CC,Cruz Azul (Mexico),Deportivo Saprissa (Costa Rica),mexico,costa-rica,MX,CR,North America,North America,North America,international
Club Leon,Club Deportivo Luis Angel Firpo,1998-08-12,1,1,P,CONCACAF CC,Club Leon (Mexico),Club Deportivo Luis Angel Firpo (El Salvador),mexico,el-salvador,MX,SV,North America,North America,North America,international
Deportivo Toluca,Ld Alajuelense,1998-08-12,2,0,F,CONCACAF CC,Deportivo Toluca (Mexico),Ld Alajuelense (Costa Rica),mexico,costa-rica,MX,CR,North America,North America,North America,international
D C United,Club Leon,1998-08-14,2,0,F,CONCACAF CC,D C United (United States),Club Leon (Mexico),united-states,mexico,US,MX,North America,North America,North America,international
Deportivo Toluca,Deportivo Saprissa,1998-08-14,1,1,P,CONCACAF CC,Deportivo Toluca (Mexico),Deportivo Saprissa (Costa Rica),mexico,costa-rica,MX,CR,North America,North America,North America,international
Deportivo Saprissa,Club Leon,1998-08-16,2,0,F,CONCACAF CC,Deportivo Saprissa (Costa Rica),Club Leon (Mexico),costa-rica,mexico,CR,MX,North America,North America,North America,international
D C United,Deportivo Toluca,1998-08-16,1,0,F,CONCACAF CC,D C United (United States),Deportivo Toluca (Mexico),united-states,mexico,US,MX,North America,North America,North America,international
Chicago Fire,Joe Public FC,1999-09-28,2,0,F,CONCACAF CC,Chicago Fire (United States),Joe Public FC (Trinidad And Tobago),united-states,trinidad-and-tobago,US,TT,North America,North America,North America,international
Deportivo Toluca,Ld Alajuelense,1999-09-28,0,1,F,CONCACAF CC,Deportivo Toluca (Mexico),Ld Alajuelense (Costa Rica),mexico,costa-rica,MX,CR,North America,North America,North America,international
D C United,CD Olimpia,1999-09-29,1,0,F,CONCACAF CC,D C United (United States),CD Olimpia (Honduras),united-states,honduras,US,HN,North America,North America,North America,international
Club Necaxa,Deportivo Saprissa,1999-09-29,3,2,F,CONCACAF CC,Club Necaxa (Mexico),Deportivo Saprissa (Costa Rica),mexico,costa-rica,MX,CR,North America,North America,North America,international
Chicago Fire,Ld Alajuelense,1999-10-01,1,1,P,CONCACAF CC,Chicago Fire (United States),Ld Alajuelense (Costa Rica),united-states,costa-rica,US,CR,North America,North America,North America,international
D C United,Club Necaxa,1999-10-01,1,3,F,CONCACAF CC,D C United (United States),Club Necaxa (Mexico),united-states,mexico,US,MX,North America,North America,North America,international
Chicago Fire,D C United,1999-10-03,2,2,F,CONCACAF CC,Chicago Fire (United States),D C United (United States),united-states,united-states,US,US,North America,North America,North America,international
Ld Alajuelense,Club Necaxa,1999-10-03,1,2,F,CONCACAF CC,Ld Alajuelense (Costa Rica),Club Necaxa (Mexico),costa-rica,mexico,CR,MX,North America,North America,North America,international
Deportivo Toluca,CD Olimpia,2001-01-16,0,1,F,CONCACAF CC,Deportivo Toluca (Mexico),CD Olimpia (Honduras),mexico,honduras,MX,HN,North America,North America,North America,international
CF Pachuca,Joe Public FC,2001-01-16,1,0,F,CONCACAF CC,CF Pachuca (Mexico),Joe Public FC (Trinidad And Tobago),mexico,trinidad-and-tobago,MX,TT,North America,North America,North America,international
D C United,Ld Alajuelense,2001-01-17,2,1,F,CONCACAF CC,D C United (United States),Ld Alajuelense (Costa Rica),united-states,costa-rica,US,CR,North America,North America,North America,international
Los Angeles Galaxy,Real CD Espana,2001-01-17,0,0,P,CONCACAF CC,Los Angeles Galaxy (United States),Real CD Espana (Honduras),united-states,honduras,US,HN,North America,North America,North America,international
CF Pachuca,CD Olimpia,2001-01-19,0,4,F,CONCACAF CC,CF Pachuca (Mexico),CD Olimpia (Honduras),mexico,honduras,MX,HN,North America,North America,North America,international
Los Angeles Galaxy,D C United,2001-01-19,1,1,P,CONCACAF CC,Los Angeles Galaxy (United States),D C United (United States),united-states,united-states,US,US,North America,North America,North America,international
CF Pachuca,D C United,2001-01-21,2,1,F,CONCACAF CC,CF Pachuca (Mexico),D C United (United States),mexico,united-states,MX,US,North America,North America,North America,international
CD Olimpia,Los Angeles Galaxy,2001-01-21,2,3,F,CONCACAF CC,CD Olimpia (Honduras),Los Angeles Galaxy (United States),honduras,united-states,HN,US,North America,North America,North America,international
Ld Alajuelense,CF America,2002-02-13,1,0,F,CONCACAF CC,Ld Alajuelense (Costa Rica),CF America (Mexico),costa-rica,mexico,CR,MX,North America,North America,North America,international
CSd Comunicaciones,D C United,2002-03-03,4,0,F,CONCACAF CC,CSd Comunicaciones (Guatemala),D C United (United States),guatemala,united-states,GT,US,North America,North America,North America,international
W Connection,Sporting Kansas City,2002-03-03,0,1,F,CONCACAF CC,W Connection (Trinidad And Tobago),Sporting Kansas City (United States),trinidad-and-tobago,united-states,TT,US,North America,North America,North America,international
CF America,Ld Alajuelense,2002-03-06,0,2,F,CONCACAF CC,CF America (Mexico),Ld Alajuelense (Costa Rica),mexico,costa-rica,MX,CR,North America,North America,North America,international
Monarcas Morelia,Deportivo Saprissa,2002-03-06,2,0,F,CONCACAF CC,Monarcas Morelia (Mexico),Deportivo Saprissa (Costa Rica),mexico,costa-rica,MX,CR,North America,North America,North America,international
D C United,CSd Comunicaciones,2002-03-13,2,1,F,CONCACAF CC,D C United (United States),CSd Comunicaciones (Guatemala),united-states,guatemala,US,GT,North America,North America,North America,international
Defence Force FC,CF Pachuca,2002-03-13,1,0,F,CONCACAF CC,Defence Force FC (Trinidad And Tobago),CF Pachuca (Mexico),trinidad-and-tobago,mexico,TT,MX,North America,North America,North America,international
CD Olimpia,San Jose Earthquakes,2002-03-13,0,1,F,CONCACAF CC,CD Olimpia (Honduras),San Jose Earthquakes (United States),honduras,united-states,HN,US,North America,North America,North America,international
Tauro FC,Santos Laguna,2002-03-14,1,1,F,CONCACAF CC,Tauro FC (Panama),Santos Laguna (Mexico),panama,mexico,PA,MX,North America,North America,North America,international
San Jose Earthquakes,CD Olimpia,2002-03-16,3,1,F,CONCACAF CC,San Jose Earthquakes (United States),CD Olimpia (Honduras),united-states,honduras,US,HN,North America,North America,North America,international
CSd Municipal,Chicago Fire,2002-03-16,0,1,F,CONCACAF CC,CSd Municipal (Guatemala),Chicago Fire (United States),guatemala,united-states,GT,US,North America,North America,North America,international
Sporting Kansas City,W Connection,2002-03-16,2,0,F,CONCACAF CC,Sporting Kansas City (United States),W Connection (Trinidad And Tobago),united-states,trinidad-and-tobago,US,TT,North America,North America,North America,international
Deportivo Saprissa,Monarcas Morelia,2002-03-20,1,1,F,CONCACAF CC,Deportivo Saprissa (Costa Rica),Monarcas Morelia (Mexico),costa-rica,mexico,CR,MX,North America,North America,North America,international
Chicago Fire,CSd Municipal,2002-03-24,2,0,F,CONCACAF CC,Chicago Fire (United States),CSd Municipal (Guatemala),united-states,guatemala,US,GT,North America,North America,North America,international
CF Pachuca,Defence Force FC,2002-03-27,4,0,F,CONCACAF CC,CF Pachuca (Mexico),Defence Force FC (Trinidad And Tobago),mexico,trinidad-and-tobago,MX,TT,North America,North America,North America,international
Santos Laguna,Tauro FC,2002-03-27,4,2,F,CONCACAF CC,Santos Laguna (Mexico),Tauro FC (Panama),mexico,panama,MX,PA,North America,North America,North America,international
Santos Laguna,Sporting Kansas City,2002-04-10,2,1,F,CONCACAF CC,Santos Laguna (Mexico),Sporting Kansas City (United States),mexico,united-states,MX,US,North America,North America,North America,international
CSd Comunicaciones,Ld Alajuelense,2002-04-14,2,3,F,CONCACAF CC,CSd Comunicaciones (Guatemala),Ld Alajuelense (Costa Rica),guatemala,costa-rica,GT,CR,North America,North America,North America,international
CF Pachuca,San Jose Earthquakes,2002-04-17,3,0,F,CONCACAF CC,CF Pachuca (Mexico),San Jose Earthquakes (United States),mexico,united-states,MX,US,North America,North America,North America,international
Ld Alajuelense,CSd Comunicaciones,2002-04-24,0,3,F,CONCACAF CC,Ld Alajuelense (Costa Rica),CSd Comunicaciones (Guatemala),costa-rica,guatemala,CR,GT,North America,North America,North America,international
San Jose Earthquakes,CF Pachuca,2002-04-24,1,0,F,CONCACAF CC,San Jose Earthquakes (United States),CF Pachuca (Mexico),united-states,mexico,US,MX,North America,North America,North America,international
Sporting Kansas City,Santos Laguna,2002-04-24,2,0,F,CONCACAF CC,Sporting Kansas City (United States),Santos Laguna (Mexico),united-states,mexico,US,MX,North America,North America,North America,international
Monarcas Morelia,Chicago Fire,2002-06-30,2,0,F,CONCACAF CC,Monarcas Morelia (Mexico),Chicago Fire (United States),mexico,united-states,MX,US,North America,North America,North America,international
Chicago Fire,Monarcas Morelia,2002-07-10,2,1,F,CONCACAF CC,Chicago Fire (United States),Monarcas Morelia (Mexico),united-states,mexico,US,MX,North America,North America,North America,international
Ld Alajuelense,CF Pachuca,2002-08-07,2,1,F,CONCACAF CC,Ld Alajuelense (Costa Rica),CF Pachuca (Mexico),costa-rica,mexico,CR,MX,North America,North America,North America,international
Monarcas Morelia,Sporting Kansas City,2002-08-07,6,1,F,CONCACAF CC,Monarcas Morelia (Mexico),Sporting Kansas City (United States),mexico,united-states,MX,US,North America,North America,North America,international
CF Pachuca,Ld Alajuelense,2002-08-28,2,0,F,CONCACAF CC,CF Pachuca (Mexico),Ld Alajuelense (Costa Rica),mexico,costa-rica,MX,CR,North America,North America,North America,international
Sporting Kansas City,Monarcas Morelia,2002-08-28,1,1,F,CONCACAF CC,Sporting Kansas City (United States),Monarcas Morelia (Mexico),united-states,mexico,US,MX,North America,North America,North America,international
Monarcas Morelia,CF Pachuca,2002-09-18,0,1,F,CONCACAF CC,Monarcas Morelia (Mexico),CF Pachuca (Mexico),mexico,mexico,MX,MX,North America,North America,North America,international
CD Fas,CF America,2003-03-07,3,1,F,CONCACAF CC,CD Fas (El Salvador),CF America (Mexico),el-salvador,mexico,SV,MX,North America,North America,North America,international
Arnett Gardens FC,Club Necaxa,2003-03-07,0,0,F,CONCACAF CC,Arnett Gardens FC (Jamaica),Club Necaxa (Mexico),jamaica,mexico,JM,MX,North America,North America,North America,international
Deportivo Toluca,W Connection,2003-03-12,3,2,F,CONCACAF CC,Deportivo Toluca (Mexico),W Connection (Trinidad And Tobago),mexico,trinidad-and-tobago,MX,TT,North America,North America,North America,international
CSd Comunicaciones,Monarcas Morelia,2003-03-12,1,0,F,CONCACAF CC,CSd Comunicaciones (Guatemala),Monarcas Morelia (Mexico),guatemala,mexico,GT,MX,North America,North America,North America,international
CSd Municipal,San Jose Earthquakes,2003-03-16,4,2,F,CONCACAF CC,CSd Municipal (Guatemala),San Jose Earthquakes (United States),guatemala,united-states,GT,US,North America,North America,North America,international
Deportivo Arabe Unido,Columbus Crew,2003-03-16,2,1,F,CONCACAF CC,Deportivo Arabe Unido (Panama),Columbus Crew (United States),panama,united-states,PA,US,North America,North America,North America,international
CD Motagua,Los Angeles Galaxy,2003-03-16,2,2,F,CONCACAF CC,CD Motagua (Honduras),Los Angeles Galaxy (United States),honduras,united-states,HN,US,North America,North America,North America,international
Club Necaxa,Arnett Gardens FC,2003-03-19,1,0,F,CONCACAF CC,Club Necaxa (Mexico),Arnett Gardens FC (Jamaica),mexico,jamaica,MX,JM,North America,North America,North America,international
Ld Alajuelense,New England Revolution,2003-03-23,4,0,F,CONCACAF CC,Ld Alajuelense (Costa Rica),New England Revolution (United States),costa-rica,united-states,CR,US,North America,North America,North America,international
Columbus Crew,Deportivo Arabe Unido,2003-03-23,3,0,F,CONCACAF CC,Columbus Crew (United States),Deportivo Arabe Unido (Panama),united-states,panama,US,PA,North America,North America,North America,international
Los Angeles Galaxy,CD Motagua,2003-03-23,1,0,F,CONCACAF CC,Los Angeles Galaxy (United States),CD Motagua (Honduras),united-states,honduras,US,HN,North America,North America,North America,international
San Jose Earthquakes,CSd Municipal,2003-03-26,2,1,F,CONCACAF CC,San Jose Earthquakes (United States),CSd Municipal (Guatemala),united-states,guatemala,US,GT,North America,North America,North America,international
CF America,CD Fas,2003-03-26,3,0,F,CONCACAF CC,CF America (Mexico),CD Fas (El Salvador),mexico,el-salvador,MX,SV,North America,North America,North America,international
New England Revolution,Ld Alajuelense,2003-03-26,3,1,F,CONCACAF CC,New England Revolution (United States),Ld Alajuelense (Costa Rica),united-states,costa-rica,US,CR,North America,North America,North America,international
Monarcas Morelia,CSd Comunicaciones,2003-03-26,4,0,F,CONCACAF CC,Monarcas Morelia (Mexico),CSd Comunicaciones (Guatemala),mexico,guatemala,MX,GT,North America,North America,North America,international
W Connection,Deportivo Toluca,2003-04-02,3,3,F,CONCACAF CC,W Connection (Trinidad And Tobago),Deportivo Toluca (Mexico),trinidad-and-tobago,mexico,TT,MX,North America,North America,North America,international
CSd Municipal,Deportivo Toluca,2003-04-09,1,2,F,CONCACAF CC,CSd Municipal (Guatemala),Deportivo Toluca (Mexico),guatemala,mexico,GT,MX,North America,North America,North America,international
Monarcas Morelia,Columbus Crew,2003-04-09,6,0,F,CONCACAF CC,Monarcas Morelia (Mexico),Columbus Crew (United States),mexico,united-states,MX,US,North America,North America,North America,international
Los Angeles Galaxy,Club Necaxa,2003-04-09,1,4,F,CONCACAF CC,Los Angeles Galaxy (United States),Club Necaxa (Mexico),united-states,mexico,US,MX,North America,North America,North America,international
Deportivo Toluca,CSd Municipal,2003-04-16,2,1,F,CONCACAF CC,Deportivo Toluca (Mexico),CSd Municipal (Guatemala),mexico,guatemala,MX,GT,North America,North America,North America,international
CF America,Ld Alajuelense,2003-04-16,4,0,F,CONCACAF CC,CF America (Mexico),Ld Alajuelense (Costa Rica),mexico,costa-rica,MX,CR,North America,North America,North America,international
Columbus Crew,Monarcas Morelia,2003-04-16,2,0,F,CONCACAF CC,Columbus Crew (United States),Monarcas Morelia (Mexico),united-states,mexico,US,MX,North America,North America,North America,international
Club Necaxa,Los Angeles Galaxy,2003-04-16,2,1,F,CONCACAF CC,Club Necaxa (Mexico),Los Angeles Galaxy (United States),mexico,united-states,MX,US,North America,North America,North America,international
Ld Alajuelense,CF America,2003-04-23,3,1,F,CONCACAF CC,Ld Alajuelense (Costa Rica),CF America (Mexico),costa-rica,mexico,CR,MX,North America,North America,North America,international
Deportivo Toluca,CF America,2003-04-30,1,4,F,CONCACAF CC,Deportivo Toluca (Mexico),CF America (Mexico),mexico,mexico,MX,MX,North America,North America,North America,international
Club Necaxa,Monarcas Morelia,2003-04-30,0,0,F,CONCACAF CC,Club Necaxa (Mexico),Monarcas Morelia (Mexico),mexico,mexico,MX,MX,North America,North America,North America,international
Monarcas Morelia,Club Necaxa,2003-05-07,6,0,F,CONCACAF CC,Monarcas Morelia (Mexico),Club Necaxa (Mexico),mexico,mexico,MX,MX,North America,North America,North America,international
CF America,Deportivo Toluca,2003-05-14,0,4,E,CONCACAF CC,CF America (Mexico),Deportivo Toluca (Mexico),mexico,mexico,MX,MX,North America,North America,North America,international
Deportivo Toluca,Monarcas Morelia,2003-07-24,2,1,F,CONCACAF CC,Deportivo Toluca (Mexico),Monarcas Morelia (Mexico),mexico,mexico,MX,MX,North America,North America,North America,international
Monarcas Morelia,Deportivo Toluca,2003-09-17,3,3,F,CONCACAF CC,Monarcas Morelia (Mexico),Deportivo Toluca (Mexico),mexico,mexico,MX,MX,North America,North America,North America,international
Deportivo Saprissa,CF Pachuca,2004-03-17,2,0,F,CONCACAF CC,Deportivo Saprissa (Costa Rica),CF Pachuca (Mexico),costa-rica,mexico,CR,MX,North America,North America,North America,international
San Juan Jabloteh,Chicago Fire,2004-03-17,5,2,F,CONCACAF CC,San Juan Jabloteh (Trinidad And Tobago),Chicago Fire (United States),trinidad-and-tobago,united-states,TT,US,North America,North America,North America,international
CD Fas,CF Monterrey,2004-03-17,0,0,F,CONCACAF CC,CD Fas (El Salvador),CF Monterrey (Mexico),el-salvador,mexico,SV,MX,North America,North America,North America,international
Ld Alajuelense,San Jose Earthquakes,2004-03-17,3,0,F,CONCACAF CC,Ld Alajuelense (Costa Rica),San Jose Earthquakes (United States),costa-rica,united-states,CR,US,North America,North America,North America,international
CF Pachuca,Deportivo Saprissa,2004-03-24,2,0,P,CONCACAF CC,CF Pachuca (Mexico),Deportivo Saprissa (Costa Rica),mexico,costa-rica,MX,CR,North America,North America,North America,international
Chicago Fire,San Juan Jabloteh,2004-03-24,4,0,F,CONCACAF CC,Chicago Fire (United States),San Juan Jabloteh (Trinidad And Tobago),united-states,trinidad-and-tobago,US,TT,North America,North America,North America,international
CF Monterrey,CD Fas,2004-03-24,4,1,F,CONCACAF CC,CF Monterrey (Mexico),CD Fas (El Salvador),mexico,el-salvador,MX,SV,North America,North America,North America,international
San Jose Earthquakes,Ld Alajuelense,2004-03-24,1,0,F,CONCACAF CC,San Jose Earthquakes (United States),Ld Alajuelense (Costa Rica),united-states,costa-rica,US,CR,North America,North America,North America,international
Ld Alajuelense,CF Monterrey,2004-04-14,1,0,F,CONCACAF CC,Ld Alajuelense (Costa Rica),CF Monterrey (Mexico),costa-rica,mexico,CR,MX,North America,North America,North America,international
Deportivo Saprissa,Chicago Fire,2004-04-14,2,0,F,CONCACAF CC,Deportivo Saprissa (Costa Rica),Chicago Fire (United States),costa-rica,united-states,CR,US,North America,North America,North America,international
Chicago Fire,Deportivo Saprissa,2004-04-21,2,1,F,CONCACAF CC,Chicago Fire (United States),Deportivo Saprissa (Costa Rica),united-states,costa-rica,US,CR,North America,North America,North America,international
CF Monterrey,Ld Alajuelense,2004-04-21,1,1,F,CONCACAF CC,CF Monterrey (Mexico),Ld Alajuelense (Costa Rica),mexico,costa-rica,MX,CR,North America,North America,North America,international
Deportivo Saprissa,Ld Alajuelense,2004-05-05,1,1,F,CONCACAF CC,Deportivo Saprissa (Costa Rica),Ld Alajuelense (Costa Rica),costa-rica,costa-rica,CR,CR,North America,North America,North America,international
Ld Alajuelense,Deportivo Saprissa,2004-05-12,4,0,F,CONCACAF CC,Ld Alajuelense (Costa Rica),Deportivo Saprissa (Costa Rica),costa-rica,costa-rica,CR,CR,North America,North America,North America,international
CD Olimpia,Pumas Unam,2005-03-09,1,1,F,CONCACAF CC,CD Olimpia (Honduras),Pumas Unam (Mexico),honduras,mexico,HN,MX,North America,North America,North America,international
D C United,Harbour View FC,2005-03-09,2,1,F,CONCACAF CC,D C United (United States),Harbour View FC (Jamaica),united-states,jamaica,US,JM,North America,North America,North America,international
CF Monterrey,CSd Municipal,2005-03-09,2,1,F,CONCACAF CC,CF Monterrey (Mexico),CSd Municipal (Guatemala),mexico,guatemala,MX,GT,North America,North America,North America,international
Sporting Kansas City,Deportivo Saprissa,2005-03-09,0,0,F,CONCACAF CC,Sporting Kansas City (United States),Deportivo Saprissa (Costa Rica),united-states,costa-rica,US,CR,North America,North America,North America,international
Deportivo Saprissa,Sporting Kansas City,2005-03-16,2,1,E,CONCACAF CC,Deportivo Saprissa (Costa Rica),Sporting Kansas City (United States),costa-rica,united-states,CR,US,North America,North America,North America,international
Pumas Unam,CD Olimpia,2005-03-17,2,1,E,CONCACAF CC,Pumas Unam (Mexico),CD Olimpia (Honduras),mexico,honduras,MX,HN,North America,North America,North America,international
Harbour View FC,D C United,2005-03-17,1,2,F,CONCACAF CC,Harbour View FC (Jamaica),D C United (United States),jamaica,united-states,JM,US,North America,North America,North America,international
CSd Municipal,CF Monterrey,2005-03-17,0,0,F,CONCACAF CC,CSd Municipal (Guatemala),CF Monterrey (Mexico),guatemala,mexico,GT,MX,North America,North America,North America,international
D C United,Pumas Unam,2005-04-06,1,1,F,CONCACAF CC,D C United (United States),Pumas Unam (Mexico),united-states,mexico,US,MX,North America,North America,North America,international
